molecule_id,smiles,binder_name,mw,alogp,hbd,hba
3pbq_wck_4234,C1CC(N2CC1N(C2=O)OS(=O)(=O)[O-])C#N.[Na+],WCK 4234,269.214,-3.825619999999998,0,6
3pbq_ceftobiprole,C1CNCC1N2CCC(=CC3=C(N4C(C(C4=O)NC(=O)C(=NO)C5=NSC(=N5)N)SC3)C(=O)O)C2=O,Ceftobiprole,534.5800000000003,-1.4421999999999957,5,12
3pbq_aztreonam,CC1C(C(=O)N1S(=O)(=O)O)NC(=O)C(=NOC(C)(C)C(=O)O)C2=CSC(=N2)N,Aztreonam,435.4400000000002,-1.172499999999998,4,10
3pbq_amdinocillin,CC1(C(N2C(S1)C(C2=O)N=CN3CCCCCC3)C(=O)O)C,Amdinocillin,325.434,1.4061999999999997,1,4
3pbq_vaborbactam,B1(C(CCC(O1)CC(=O)O)NC(=O)CC2=CC=CS2)O,Vaborbactam,297.141,0.4487999999999997,3,5
3pbq_ceftolozane,CC(C)(C(=O)O)ON=C(C1=NSC(=N1)N)C(=O)NC2C3N(C2=O)C(=C(CS3)C[N+]4=CC(=C(N4C)N)NC(=O)NCCN)C(=O)[O-],Ceftolozane,666.703,-3.903299999999998,7,16
3pbq_amoxicillin,CC1(C(N2C(S1)C(C2=O)NC(=O)C(C3=CC=C(C=C3)O)N)C(=O)O)C,Amoxicillin,365.4110000000001,0.0236999999999995,4,6
3pbq_ceftazidime,CC(C)(C(=O)O)ON=C(C1=CSC(=N1)N)C(=O)NC2C3N(C2=O)C(=C(CS3)C[N+]4=CC=CC=C4)C(=O)[O-],Ceftazidime,546.5870000000002,-1.299199999999996,3,11
3pbq_cefepime,C[N+]1(CCCC1)CC2=C(N3C(C(C3=O)NC(=O)C(=NOC)C4=CSC(=N4)N)SC2)C(=O)[O-],Cefepime,480.57200000000023,-1.2798999999999958,2,10
3pbq_ticarcillin,CC1(C(N2C(S1)C(C2=O)NC(=O)C(C3=CSC=C3)C(=O)O)C(=O)O)C,Ticarcillin,384.4350000000001,0.5479999999999997,3,6
3pbq_imipenem,CC(C1C2CC(=C(N2C1=O)C(=O)O)SCCN=CN)O,Imipenem,299.35200000000003,-0.3856999999999989,3,5
3pbq_piperacillin,CCN1CCN(C(=O)C1=O)C(=O)NC(C2=CC=CC=C2)C(=O)NC3C4N(C3=O)C(C(S4)(C)C)C(=O)O,Piperacillin,517.5640000000003,-0.2402999999999975,3,7
3pbq_carbenicillin,CC1(C(N2C(S1)C(C2=O)NC(=O)C(C3=CC=CC=C3)C(=O)O)C(=O)O)C,Carbenicillin,378.4060000000001,0.4864999999999998,3,5
3pbq_cefiderocol,CC(C)(C(=O)O)ON=C(C1=CSC(=N1)N)C(=O)NC2C3N(C2=O)C(=C(CS3)C[N+]4(CCCC4)CCNC(=O)C5=C(C(=C(C=C5)O)O)Cl)C(=O)[O-],Cefiderocol,752.2280000000003,-0.1816999999999978,6,14
3pbq_avibactam,C1CC(N2CC1N(C2=O)OS(=O)(=O)O)C(=O)N,Avibactam,265.247,-1.525299999999998,2,5
3pbq_zidebactam,C1CC(CNC1)C(=O)NNC(=O)C2CCC3CN2C(=O)N3OS(=O)(=O)O,Zidebactam,391.40600000000006,-1.8635999999999964,4,7
3pbq_azlocillin,CC1(C(N2C(S1)C(C2=O)NC(=O)C(C3=CC=CC=C3)NC(=O)N4CCNC4=O)C(=O)O)C,Azlocillin,461.5000000000002,0.0942000000000006,4,6
3pbq_cefoperazone,CCN1CCN(C(=O)C1=O)C(=O)NC(C2=CC=C(C=C2)O)C(=O)NC3C4N(C3=O)C(=C(CS4)CSC5=NN=NN5C)C(=O)O,Cefoperazone,645.6800000000001,-1.111999999999996,4,13
