molecule_id,smiles,mw,alogp,hbd,hba
generated_mol_0001,C[C@H]1C[C@@H](F)[C@H](C(=O)O)OC([C@H](C)N2C(=O)N(NCCNC(N)=O)[C@H]3C[C@H]32)=N1,400.41,-0.58,4,6
generated_mol_0002,O=C(N[C@H](O)C1=CCCCC1)O[C@H](C(=O)O)[C@@H](O)CO,289.28,-0.66,5,6
generated_mol_0003,C[C@@H](C(N)=O)[C@H]1C[C@@H]1NC(=O)C1=C2N=CN=C2C(Cl)C=C1,306.75,0.53,2,4
generated_mol_0004,C[C@H](CC(=O)O)C(CO)OCCSCN1CC[C@H](O)[C@@H](O)C1,337.44,-0.41,4,7
generated_mol_0005,CO[C@H]1C(=O)N[C@H](C(=O)SC)[C@@H]1O,205.24,-1.25,2,5
generated_mol_0006,O[C@@H]1C[C@H](O)[C@H]2[C@H]3O[C@@]23C1,142.15,-0.73,2,3
generated_mol_0007,CCCc1n[nH]c([C@H]2C3(O)N(C(=O)CN)[C@]23C(=O)O)c1C,294.31,-0.92,4,5
generated_mol_0008,CC(=O)NN[C@H](CCC1=CC=C(N[C@@H](O)C(C)C)CC=C1)NC(=O)O,352.44,1.34,6,5
generated_mol_0009,C=C(CCC)[C@H]1[C@@H](O)N[C@@H](N)C(C)[C@@H]1CO,228.34,0.41,4,4
generated_mol_0010,C[C@H](C=C=O)OC[C@@H](NO)N[C@@H]1[C@H](O)OC(=O)[C@H]1O,276.25,-2.72,5,9
generated_mol_0011,C[C@@H](COC(=O)[C@@H]1CCCO1)[C@@H]1CC[C@H]([C@H](O)C(=O)O)N(c2ccccc2)C1=O,405.45,1.6,2,6
generated_mol_0012,O=C(OS(O)(O)[C@H](F)CC[C@@H](CO)[C@H]1O[C@@]2(O)C[C@@H]12)[C@@H](CO)CCOO,404.41,0.47,6,10
generated_mol_0013,CNC(=O)c1c(N)ccc2c1C(=O)NC(=N)[C@@H]2CO,262.27,-0.58,5,5
generated_mol_0014,C[C@@]12NC(=O)[C@@H]3C[C@H](CO)O[C@@H](O)[C@H](O)[C@H]4CCC=C(C=C=CC[C@H]3[S@H]1[C@@H]2O)C4,425.55,0.44,6,6
generated_mol_0015,C[C@@H](C(=O)O)C(C)(C)OC(=O)Nc1cc2c(cc1S(O)(O)O)CCCC2=O,401.44,3.84,5,7
generated_mol_0016,N[C@H](C(=O)N[C@H](CCCO)CCS(=O)(=O)N1CC=NCC1)C(=O)S[S@](=O)O,444.56,-1.93,4,9
generated_mol_0017,N#C[C@@H]1C[C@H]2C(=C(F)CNC2C=C=C(S)[C@H]2CCC2=O)O[C@H]1C(=O)OCO,394.42,1.13,3,8
generated_mol_0018,C[C@@H](C(=O)O)[C@@H](OC(=O)C[C@H](CCN[C@@H]1C(=O)C[C@@H](P(=O)(O)O)C[C@H](O)[C@H]1O)CC1CC1)[C@H](O)[C@@H]1CO1,551.53,-0.84,7,10
generated_mol_0019,C[C@@H]1CCC[C@@H](F)[C@H]2[C@H](C[C@H]1F)[C@]21C[C@@]1(CCO)C(=O)NC(N)=O,344.4,2.07,3,3
generated_mol_0020,N=CC(NC(=O)CN)O[C@@H]1CC[C@@H](C(=O)O)N[C@H]1CO,288.3,-2.38,6,7
generated_mol_0021,N=CC(=O)N[C@@H]1SCC1C(=O)O,188.21,-0.47,3,4
generated_mol_0022,COC[C@@H]([C@H](C)O)N1CCO[C@H]([C@H](C)P(=O)(O)O)C1=O,311.27,-0.82,3,5
generated_mol_0023,CC[C@H](S)[C@H](O)[C@H](C)Nc1ccn([C@@H](NC(N)=O)C(=O)O)c1,330.41,0.61,6,6
generated_mol_0024,CNCCc1cc(CO)cc(CC(=O)OC[C@H]2CC[C@H](O)O2)c1,323.39,0.52,3,6
generated_mol_0025,CNC(=O)N(C)[C@H]1CS[C@@H]([C@H](O)C(=O)CN)S1,279.39,-0.72,3,6
generated_mol_0026,CC1=C[C@@H](C(=O)O)C=CC(CC[C@H](CN)OC(=O)O)=C1,281.31,1.93,3,4
generated_mol_0027,O=C(O)CC[C@@H]1CNC2C=CC[C@@H](O)[C@@H]2C1,225.29,0.77,3,3
generated_mol_0028,CCCc1cnccc1N[C@H]1C[C@H](N[C@H]2CCCC[C@H]2C(=O)O)CO1,347.46,2.79,3,5
generated_mol_0029,C[C@H](CN)C(=O)Nc1nc2cc(C(F)(F)F)ncc2s1,304.3,2.24,2,5
generated_mol_0030,CC=CCNC(=O)C(=O)CCc1ccc(Cl)cc1OC1CC1,321.8,3.08,1,3
generated_mol_0031,O=C(O)C[C@H]1OC[C@H]([C@@H](O)C(=O)O)C[C@H]1O,234.2,-1.33,4,5
generated_mol_0032,CC[C@@H](O[C@H](O)[C@H](O)CCSCCC(=O)N([C@H](C(N)=O)c1ccc(F)cc1)[C@@H]1C[C@@H]1O)[C@@]1(N=C=O)CO1,541.6,0.36,4,10
generated_mol_0033,NC1=NC[C@](O)(C[C@H](CN=C(N)N)COC(=O)O)N1,274.28,-2.43,6,7
generated_mol_0034,CC[C@H]1C[C@@H]1N(C)C(=O)CO[C@@](N)(CC1CC1)C(=O)O,284.36,0.8,2,4
generated_mol_0035,NC(=O)Nc1scnc1C(=O)O,187.18,0.33,3,4
generated_mol_0036,O=C(O)C[C@@](CC[C@H]1C[C@@H](C2CC2)C[C@@H]1O)(C(=O)O)[C@H](O)CO,330.38,0.46,5,5
generated_mol_0037,CC(=O)NC(=O)SC1=N[C@H]2C=CC=CC=C2N1C,263.32,1.66,1,5
generated_mol_0038,N[C@@H](COCCC(O)O)[C@@H](O)CC(=O)O,223.22,-2.13,5,6
generated_mol_0039,O=C1CC[C@@H](NC(=O)NC[C@@H]2[C@H](O)[C@@H](O)[C@H]3NCC[C@H](Cl)[C@@H]23)C(=O)N1,374.83,-1.97,6,6
generated_mol_0040,CC1(C)C[C@@H]1[C@H](C(=O)O)[C@@H]1C[C@H](C(N)=O)[C@@H](N2CCCCC2)C=C1C(=O)O,378.47,1.72,3,4
generated_mol_0041,N[C@@H](O)CCCCSCOP(=O)(O)O,245.24,0.23,4,5
generated_mol_0042,NC[C@H](CO)C[C@@H](NC(=O)[C@]1([C@H]2OC[C@@H]3OCC[C@H]32)CO1)C(=O)O,344.36,-1.91,4,7
generated_mol_0043,CC[C@@H]1SC(NC(=O)N(CCO)C(C)=N)=C(CO)C1=O,301.37,0.29,4,6
generated_mol_0044,O=[N+]([O-])c1cccc(CO)c1,153.14,1.09,1,3
generated_mol_0045,CCN(O)[C@H]1O[C@H]2CCOC[C@H]2OC[C@@H]1[C@H](O)CC[C@@H](O)C(=O)N(CC[C@H]1C[C@H]1O)C(=O)O,476.52,-0.38,5,10
generated_mol_0046,CCC[C@H]([C@@H]1C=CC(N[C@@H]2CSCN=C2NOO)=NN1)S(O)(O)O,381.48,1.28,7,11
generated_mol_0047,C[C@]12OC3=C(C=C[C@@H]([C@H](CC[C@H](CN)CO)OCC(=O)O)C=C3O)C[C@@H]1C(=O)NCC[C@H]2CCCO,508.61,1.39,6,8
generated_mol_0048,CC(=O)CCCC[C@@H](O)C(=O)c1[nH]nnc1N,240.26,0.08,3,6
generated_mol_0049,CCCCCO[C@H](C(=O)NC[C@H](O)C(=N)N[C@@](F)(CO)CF)[C@@H](C)CO,383.44,-0.14,6,6
