activity_id,smiles,pAff
6386627,COc1ccccc1CSc1nc(SCc2ccccc2)nc(=O)[nH]1,4.81
115906,Cc1ccc2nc(O)n(C3CCN(Cc4cc5c(cc4Cl)OCO5)CC3)c2c1,8.62
3301796,CC(=O)N[C@@H](C)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](C)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@H](C(=O)N[C@@H](Cc1cnc[nH]1)C(=O)N[C@@H](CC(C)C)C(N)=O)C(C)C,6.8
17621297,Cc1ccc(F)cc1-c1ccc2cc(C(=O)NC3CCC3)ncc2c1,7.38
23292366,N#Cc1ccc(CN(CC(N)=O)C(=O)CSc2ccccc2Cl)cc1,6.84
24776573,COc1ccc(C(C)=O)c(Oc2ccc(NC(=O)/C=C/c3cc(OC)c(OC)c(OC)c3)cc2)c1,5.16
2005735,CC[C@H](C)[C@@H]1NC(=O)[C@@H]2CCCN2C(=O)[C@@H]2CCCN2C(=O)[C@H]([C@@H](C)CC)NC(=O)[C@H](CO)NC(=O)[C@H](CCCCCN)NC(=O)[C@H]([C@@H](C)O)NC(=O)[C@@H]2CSSC[C@H](NC1=O)C(=O)N[C@@H](Cc1ccccc1)C(=O)N1CCC[C@@H]1C(=O)N[C@@H](CC(=O)O)C(=O)NCC(=O)N[C@@H](CCCNC(=N)N)C(=O)N2,4.55
13238037,CC(O)(CS(=O)(=O)c1ccc(F)cc1)C(=O)Nc1ccc(C#N)c(C(F)(F)F)c1,4.24
7755814,CN1C[C@H](CNC(=O)OCc2ccccc2)C[C@@H]2c3cccc4c3c(cn4C)C[C@H]21,6.72
5564063,O=C(Nc1nc2ccc(F)cc2s1)c1ccccn1,5.34
25575940,Cc1ccc(-c2cc3[nH]cc(C(=O)NCC4CCNCC4)c3cc2-c2ccc(C#N)cc2)cc1,5.07
17765237,O=C(NCc1cccnn1)c1cc(NC(=O)c2cc(-c3ncccc3F)c(Cl)cc2Cl)n(-c2ccccc2)n1,8.49
17797875,CC1(N)CCN(c2cccnc2NC(=O)c2nc(-c3ncccc3F)cnc2N)CC1,8.77
2155095,NCCCC(O)(P(=O)(O)O)P(=O)(O)O,7.36
1194419,S=c1[nH]ccn1Cc1ccccc1,4.5
12080571,N#CCCN1C(=O)c2ccccc2C1C(=O)NCc1ccc(OC(F)(F)F)cc1,4.58
24838878,O=C(O)CCC1CN(c2cc(C(F)(F)F)cc(C(F)(F)F)c2)C1,6.13
24377155,O=C1C=CC[C@H](C[C@@H]2C[C@@H]3C[C@@](/C=C/c4ccccc4)(Oc4cc(O)c5c(c43)O[C@@H](c3ccccc3)CC5=O)O2)O1,5.04
2613047,CC1(C)C=C(COc2ccc(-c3nc4c(C(N)=O)cccc4[nH]3)cc2)C(C)(C)N1,8.37
5236804,Cc1cc(C#N)cc2nc(-c3ccc(NC(=O)CN4CCN(c5ccc(C(F)(F)F)cc5)CC4)cc3)oc12,7.8
18277891,CC(=O)O[C@@H](C/C=C(\C)C(=O)O)[C@@H](C)[C@H]1C[C@H](OC(C)=O)[C@@]2(C)C3=C(CC[C@]12C)[C@@]1(C)CC[C@H](OC(C)=O)C(C)(C)[C@@H]1C[C@H]3O,4.55
18074778,c1ccc2c(NCc3cn(CCN4CCCCC4)nn3)c3oc4ccccc4c3nc2c1,5.56
14537906,CC(C)Sc1oc(N)nc1-c1ccc(P(=O)(O)O)o1,6.96
13231479,CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1,4.68
25681819,CCC(=C/[C@H](C)C/C=C/C(C)=C/[C@@H](C)C(=O)[C@@H](C)[C@H](O)[C@@H](C)C/C(C)=C/C(=O)O)/C=C/[C@@H]1OC(=O)C=C[C@@H]1C,9.52
1476879,COc1ccc(N2N=C(Sc3ccc(Cl)cc3)CC(CC[C@@H](C)NC(=O)[C@H]3CCNC[C@@H]3c3ccc(F)cc3)C2=O)cc1,7.66
19099898,NS(=O)(=O)c1ccc(CCNC(=O)c2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)cc2)cc1,5.34
1654533,Cc1ccc(C(=O)C2=C(O)C(=O)N(CCCc3c[nH]cn3)C2c2ccc(Cl)cc2)cc1,4.03
23261550,CCS(=O)(=O)c1ccc2c(c1)CN(C(C)=O)C2C(=O)Nc1ccc(C(O)(C(F)(F)F)C(F)(F)F)cc1,6.52
2288870,Cn1cc(/C=C/C(=O)NS(=O)(=O)c2cc(F)c(F)cc2F)c2c(Oc3ccc(Cl)c(Cl)c3)cccc21,5.12
15056192,O=C1c2c(O)cccc2C(=O)c2c1c(O)cc1nc(N3CCCCC3CCO)sc21,4.78
1973557,CC(C)C[C@H](N)c1cc(C(F)(F)F)ccc1N1CCN(C(=O)[C@@H](Cc2ccc(Cl)cc2Cl)NC(=O)CN)CC1,8.74
15194704,COc1cc(/C=C/C(=O)/C=C(O)/C=C/c2ccc(O)c(OC)c2)ccc1O,4.05
9536697,Cc1n[nH]c2ccc(-c3cncc(OCC(N)Cc4cccc(OC(F)(F)F)c4)c3)cc12,5.7
18675035,CN(C1=CC(=O)C(=O)c2ccccc21)c1ccc(F)c(Cl)c1,5.99
980337,COc1ccccc1CNCc1c(-c2ccccc2)c2ccccc2c(=O)n1C,6.34
