file_name	cluster_label
complex_000000.pt	15
complex_000001.pt	79
complex_000002.pt	25
complex_000003.pt	82
complex_000004.pt	81
complex_000005.pt	4
complex_000006.pt	71
complex_000007.pt	76
complex_000008.pt	47
complex_000009.pt	96
complex_000010.pt	110
complex_000011.pt	87
complex_000012.pt	60
complex_000013.pt	51
complex_000014.pt	141
complex_000015.pt	24
complex_000016.pt	151
complex_000017.pt	4
complex_000018.pt	109
complex_000019.pt	134
complex_000020.pt	23
complex_000021.pt	32
complex_000022.pt	12
complex_000023.pt	62
complex_000024.pt	34
complex_000025.pt	38
complex_000026.pt	36
complex_000027.pt	94
complex_000028.pt	133
complex_000029.pt	111
complex_000030.pt	4
complex_000031.pt	79
complex_000032.pt	121
complex_000033.pt	13
complex_000034.pt	154
complex_000035.pt	123
complex_000036.pt	63
complex_000037.pt	95
complex_000038.pt	151
complex_000039.pt	120
complex_000040.pt	64
complex_000041.pt	32
complex_000042.pt	93
complex_000043.pt	64
complex_000044.pt	120
complex_000045.pt	29
complex_000046.pt	131
complex_000047.pt	20
complex_000048.pt	157
complex_000049.pt	93
complex_000050.pt	129
complex_000051.pt	129
complex_000052.pt	159
complex_000053.pt	51
complex_000054.pt	78
complex_000055.pt	117
complex_000056.pt	64
complex_000057.pt	132
complex_000058.pt	21
complex_000059.pt	127
complex_000060.pt	105
complex_000061.pt	130
complex_000062.pt	133
complex_000063.pt	12
complex_000064.pt	75
complex_000065.pt	53
complex_000066.pt	89
complex_000067.pt	109
complex_000068.pt	109
complex_000069.pt	45
complex_000070.pt	103
complex_000071.pt	75
complex_000072.pt	146
complex_000073.pt	13
complex_000074.pt	97
complex_000075.pt	99
complex_000076.pt	133
complex_000077.pt	24
complex_000078.pt	9
complex_000079.pt	57
complex_000080.pt	111
complex_000081.pt	8
complex_000082.pt	3
complex_000083.pt	46
complex_000084.pt	160
complex_000085.pt	145
complex_000086.pt	51
complex_000087.pt	119
complex_000088.pt	90
complex_000089.pt	130
complex_000090.pt	122
complex_000091.pt	106
complex_000092.pt	12
complex_000093.pt	79
complex_000094.pt	21
complex_000095.pt	70
complex_000096.pt	81
complex_000097.pt	77
complex_000098.pt	140
complex_000099.pt	15
complex_000100.pt	109
complex_000101.pt	132
complex_000102.pt	29
complex_000103.pt	89
complex_000104.pt	47
complex_000105.pt	57
complex_000106.pt	22
complex_000107.pt	61
complex_000108.pt	111
complex_000109.pt	116
complex_000110.pt	9
complex_000111.pt	139
complex_000112.pt	135
complex_000113.pt	47
complex_000114.pt	12
complex_000115.pt	2
complex_000116.pt	88
complex_000117.pt	70
complex_000118.pt	94
complex_000119.pt	49
complex_000120.pt	70
complex_000121.pt	144
complex_000122.pt	144
complex_000123.pt	97
complex_000124.pt	130
complex_000125.pt	153
complex_000126.pt	99
complex_000127.pt	151
complex_000128.pt	3
complex_000129.pt	93
complex_000130.pt	68
complex_000131.pt	119
complex_000132.pt	71
complex_000133.pt	9
complex_000134.pt	42
complex_000135.pt	44
complex_000136.pt	23
complex_000137.pt	159
complex_000138.pt	38
complex_000139.pt	16
complex_000140.pt	20
complex_000141.pt	73
complex_000142.pt	38
complex_000143.pt	33
complex_000144.pt	30
complex_000145.pt	77
complex_000146.pt	64
complex_000147.pt	102
complex_000148.pt	78
complex_000149.pt	55
complex_000150.pt	33
complex_000151.pt	97
complex_000152.pt	46
complex_000153.pt	56
complex_000154.pt	26
complex_000155.pt	93
complex_000156.pt	95
complex_000157.pt	37
complex_000158.pt	118
complex_000159.pt	130
complex_000160.pt	95
complex_000161.pt	81
complex_000162.pt	86
complex_000163.pt	34
complex_000164.pt	58
complex_000165.pt	2
complex_000166.pt	127
complex_000167.pt	115
complex_000168.pt	46
complex_000169.pt	28
complex_000170.pt	90
complex_000171.pt	127
complex_000172.pt	65
complex_000173.pt	68
complex_000174.pt	118
complex_000175.pt	86
complex_000176.pt	157
complex_000177.pt	32
complex_000178.pt	159
complex_000179.pt	98
complex_000180.pt	84
complex_000181.pt	84
complex_000182.pt	45
complex_000183.pt	2
complex_000184.pt	51
complex_000185.pt	43
complex_000186.pt	81
complex_000187.pt	18
complex_000188.pt	104
complex_000189.pt	149
complex_000190.pt	137
complex_000191.pt	133
complex_000192.pt	49
complex_000193.pt	127
complex_000194.pt	146
complex_000195.pt	111
complex_000196.pt	119
complex_000197.pt	141
complex_000198.pt	5
complex_000199.pt	102
complex_000200.pt	68
complex_000201.pt	53
complex_000202.pt	117
complex_000203.pt	9
complex_000204.pt	33
complex_000205.pt	25
complex_000206.pt	16
complex_000207.pt	132
complex_000208.pt	115
complex_000209.pt	44
complex_000210.pt	80
complex_000211.pt	115
complex_000212.pt	37
complex_000213.pt	118
complex_000214.pt	72
complex_000215.pt	79
complex_000216.pt	79
complex_000217.pt	159
complex_000218.pt	46
complex_000219.pt	71
complex_000220.pt	18
complex_000221.pt	19
complex_000222.pt	5
complex_000223.pt	32
complex_000224.pt	72
complex_000225.pt	112
complex_000226.pt	42
complex_000227.pt	42
complex_000228.pt	61
complex_000229.pt	112
complex_000230.pt	32
complex_000231.pt	47
complex_000232.pt	115
complex_000233.pt	127
complex_000234.pt	158
complex_000235.pt	100
complex_000236.pt	2
complex_000237.pt	116
complex_000238.pt	117
complex_000239.pt	159
complex_000240.pt	42
complex_000241.pt	65
complex_000242.pt	0
complex_000243.pt	50
complex_000244.pt	151
complex_000245.pt	144
complex_000246.pt	93
complex_000247.pt	61
complex_000248.pt	64
complex_000249.pt	104
complex_000250.pt	64
complex_000251.pt	2
complex_000252.pt	90
complex_000253.pt	51
complex_000254.pt	135
complex_000255.pt	137
complex_000256.pt	101
complex_000257.pt	35
complex_000258.pt	78
complex_000259.pt	75
complex_000260.pt	78
complex_000261.pt	124
complex_000262.pt	14
complex_000263.pt	8
complex_000264.pt	119
complex_000265.pt	63
