Overall Average Silhouette Score: 0.163658

Per-Cluster Silhouette Scores:
Cluster 0: 0.076583 (198 samples)
Cluster 1: 0.028727 (251 samples)
Cluster 2: 0.239507 (498 samples)
Cluster 3: 0.028597 (111 samples)
Cluster 4: 0.069541 (378 samples)
Cluster 5: 0.115135 (266 samples)
Cluster 6: 0.232457 (369 samples)
Cluster 7: -0.047083 (148 samples)
Cluster 8: 0.194449 (490 samples)
Cluster 9: 0.299706 (606 samples)
Cluster 10: 0.155177 (220 samples)
Cluster 11: 0.166579 (360 samples)
Cluster 12: 0.231337 (254 samples)
Cluster 13: 0.249193 (533 samples)
Cluster 14: 0.135540 (376 samples)
Cluster 15: 0.216519 (317 samples)
Cluster 16: 0.086722 (227 samples)
Cluster 17: 0.261339 (586 samples)
Cluster 18: 0.235544 (373 samples)
Cluster 19: 0.248723 (375 samples)
Cluster 20: 0.127408 (236 samples)
Cluster 21: 0.165022 (357 samples)
Cluster 22: 0.048249 (348 samples)
Cluster 23: 0.198092 (411 samples)
Cluster 24: 0.155938 (309 samples)
Cluster 25: 0.124405 (229 samples)
Cluster 26: 0.115496 (234 samples)
Cluster 27: 0.033709 (270 samples)
Cluster 28: 0.034658 (171 samples)
Cluster 29: 0.251763 (480 samples)
Cluster 30: 0.058943 (299 samples)
Cluster 31: 0.185184 (255 samples)
Cluster 32: 0.191338 (341 samples)
Cluster 33: 0.184392 (436 samples)
Cluster 34: 0.174102 (251 samples)
Cluster 35: 0.062441 (200 samples)
Cluster 36: 0.172775 (289 samples)
Cluster 37: 0.110944 (290 samples)
Cluster 38: 0.202921 (268 samples)
Cluster 39: 0.172200 (246 samples)
Cluster 40: 0.233792 (532 samples)
Cluster 41: 0.118580 (331 samples)
Cluster 42: 0.208976 (454 samples)
Cluster 43: 0.184277 (676 samples)
Cluster 44: 0.174595 (273 samples)
Cluster 45: 0.102258 (279 samples)
Cluster 46: 0.223874 (461 samples)
Cluster 47: 0.151525 (279 samples)
Cluster 48: 0.083858 (169 samples)
Cluster 49: 0.056888 (355 samples)
Cluster 50: 0.047131 (242 samples)
Cluster 51: 0.210773 (673 samples)
Cluster 52: 0.160945 (246 samples)
Cluster 53: 0.170489 (628 samples)
Cluster 54: 0.183734 (321 samples)
Cluster 55: 0.121240 (210 samples)
Cluster 56: 0.142629 (392 samples)
Cluster 57: 0.138186 (392 samples)
Cluster 58: 0.222889 (644 samples)
Cluster 59: 0.223556 (418 samples)
Cluster 60: 0.078007 (200 samples)
Cluster 61: 0.201917 (337 samples)
Cluster 62: 0.166773 (231 samples)
Cluster 63: 0.239765 (390 samples)
Cluster 64: 0.172871 (513 samples)
Cluster 65: 0.085214 (206 samples)
Cluster 66: 0.096455 (188 samples)
Cluster 67: 0.040857 (191 samples)
Cluster 68: 0.150735 (372 samples)
Cluster 69: 0.189136 (542 samples)
Cluster 70: 0.244464 (352 samples)
Cluster 71: 0.280111 (303 samples)
Cluster 72: 0.070775 (213 samples)
Cluster 73: 0.161218 (364 samples)
Cluster 74: 0.171526 (172 samples)
Cluster 75: 0.139057 (309 samples)
Cluster 76: 0.063221 (409 samples)
Cluster 77: 0.242789 (404 samples)
Cluster 78: 0.153937 (449 samples)
Cluster 79: -0.045657 (150 samples)
Cluster 80: 0.297527 (864 samples)
Cluster 81: 0.143286 (446 samples)
Cluster 82: -0.065709 (105 samples)
Cluster 83: 0.145285 (266 samples)
Cluster 84: 0.114552 (227 samples)
Cluster 85: 0.112287 (236 samples)
Cluster 86: 0.073170 (206 samples)
Cluster 87: 0.063897 (284 samples)
Cluster 88: 0.132394 (246 samples)
Cluster 89: 0.174580 (461 samples)
Cluster 90: 0.151054 (319 samples)
Cluster 91: 0.167613 (338 samples)
Cluster 92: 0.209133 (295 samples)
Cluster 93: 0.218265 (568 samples)
Cluster 94: 0.085990 (298 samples)
Cluster 95: -0.003144 (137 samples)
Cluster 96: 0.067676 (241 samples)
Cluster 97: 0.129097 (222 samples)
Cluster 98: 0.102578 (223 samples)
Cluster 99: 0.176766 (331 samples)
Cluster 100: 0.219431 (307 samples)
Cluster 101: 0.166344 (485 samples)
Cluster 102: -0.000397 (146 samples)
Cluster 103: 0.171550 (152 samples)
Cluster 104: 0.176177 (289 samples)
Cluster 105: 0.045817 (207 samples)
Cluster 106: 0.076857 (231 samples)
Cluster 107: 0.109736 (381 samples)
Cluster 108: 0.135898 (342 samples)
Cluster 109: 0.201886 (404 samples)
Cluster 110: -0.031791 (100 samples)
Cluster 111: 0.174916 (373 samples)
Cluster 112: 0.158481 (422 samples)
Cluster 113: 0.024585 (157 samples)
Cluster 114: 0.090725 (407 samples)
Cluster 115: 0.172245 (353 samples)
Cluster 116: 0.160872 (349 samples)
Cluster 117: 0.203163 (306 samples)
Cluster 118: 0.222170 (548 samples)
Cluster 119: 0.160859 (301 samples)
Cluster 120: 0.107714 (286 samples)
Cluster 121: 0.168339 (289 samples)
Cluster 122: 0.234063 (627 samples)
Cluster 123: 0.181363 (564 samples)
Cluster 124: 0.236977 (792 samples)
Cluster 125: 0.144466 (283 samples)
Cluster 126: 0.106071 (190 samples)
Cluster 127: 0.156305 (448 samples)
Cluster 128: -0.018529 (153 samples)
Cluster 129: 0.224014 (240 samples)
Cluster 130: 0.283051 (445 samples)
Cluster 131: 0.192206 (403 samples)
Cluster 132: 0.133589 (244 samples)
Cluster 133: 0.136132 (261 samples)
Cluster 134: 0.035957 (210 samples)
Cluster 135: 0.160964 (266 samples)
Cluster 136: 0.105942 (316 samples)
Cluster 137: 0.227351 (596 samples)
Cluster 138: 0.076136 (273 samples)
Cluster 139: 0.237722 (171 samples)
Cluster 140: 0.152115 (297 samples)
Cluster 141: 0.152690 (277 samples)
Cluster 142: -0.004057 (145 samples)
Cluster 143: -0.004546 (109 samples)
Cluster 144: 0.060938 (134 samples)
Cluster 145: 0.116723 (139 samples)
Cluster 146: 0.227603 (654 samples)
Cluster 147: 0.104800 (220 samples)
Cluster 148: 0.012356 (110 samples)
Cluster 149: 0.043827 (259 samples)
Cluster 150: 0.100731 (381 samples)
Cluster 151: 0.218144 (402 samples)
Cluster 152: 0.016150 (215 samples)
Cluster 153: 0.136557 (300 samples)
Cluster 154: 0.075981 (169 samples)
Cluster 155: 0.002788 (184 samples)
Cluster 156: 0.089217 (126 samples)
Cluster 157: 0.199754 (299 samples)
Cluster 158: 0.120924 (260 samples)
Cluster 159: 0.252017 (543 samples)
Cluster 160: 0.199964 (575 samples)
Cluster 161: 0.227339 (380 samples)
Cluster 162: 0.132065 (357 samples)
