file_name	cluster_id
complex_000000.pt	20
complex_000001.pt	78
complex_000002.pt	16
complex_000003.pt	23
complex_000004.pt	2
complex_000005.pt	13
complex_000006.pt	40
complex_000007.pt	78
complex_000008.pt	30
complex_000009.pt	70
complex_000010.pt	66
complex_000011.pt	39
complex_000012.pt	78
complex_000013.pt	68
complex_000014.pt	84
complex_000015.pt	84
complex_000016.pt	81
complex_000017.pt	55
complex_000018.pt	23
complex_000019.pt	77
complex_000020.pt	68
complex_000021.pt	92
complex_000022.pt	15
complex_000023.pt	14
complex_000024.pt	80
complex_000025.pt	3
complex_000026.pt	59
complex_000027.pt	38
complex_000028.pt	15
complex_000029.pt	87
complex_000030.pt	57
complex_000031.pt	72
complex_000032.pt	75
complex_000033.pt	46
complex_000034.pt	13
complex_000035.pt	17
complex_000036.pt	19
complex_000037.pt	84
complex_000038.pt	81
complex_000039.pt	43
complex_000040.pt	85
complex_000041.pt	26
complex_000042.pt	83
complex_000043.pt	92
complex_000044.pt	88
complex_000045.pt	75
complex_000046.pt	22
complex_000047.pt	38
complex_000048.pt	35
complex_000049.pt	6
complex_000050.pt	59
complex_000051.pt	59
complex_000052.pt	28
complex_000053.pt	68
complex_000054.pt	15
complex_000055.pt	67
complex_000056.pt	75
complex_000057.pt	26
complex_000058.pt	68
complex_000059.pt	64
complex_000060.pt	39
complex_000061.pt	20
complex_000062.pt	15
complex_000063.pt	15
complex_000064.pt	42
complex_000065.pt	5
complex_000066.pt	63
complex_000067.pt	39
complex_000068.pt	42
complex_000069.pt	45
complex_000070.pt	47
complex_000071.pt	72
complex_000072.pt	5
complex_000073.pt	30
complex_000074.pt	27
complex_000075.pt	92
complex_000076.pt	15
complex_000077.pt	84
complex_000078.pt	48
complex_000079.pt	34
complex_000080.pt	87
complex_000081.pt	5
complex_000082.pt	30
complex_000083.pt	73
complex_000084.pt	29
complex_000085.pt	92
complex_000086.pt	56
complex_000087.pt	2
complex_000088.pt	3
complex_000089.pt	43
complex_000090.pt	31
complex_000091.pt	16
complex_000092.pt	84
complex_000093.pt	78
complex_000094.pt	54
complex_000095.pt	18
complex_000096.pt	38
complex_000097.pt	18
complex_000098.pt	3
complex_000099.pt	11
complex_000100.pt	66
complex_000101.pt	13
complex_000102.pt	46
complex_000103.pt	53
complex_000104.pt	30
complex_000105.pt	8
complex_000106.pt	31
complex_000107.pt	67
complex_000108.pt	78
complex_000109.pt	85
complex_000110.pt	62
complex_000111.pt	38
complex_000112.pt	36
complex_000113.pt	30
complex_000114.pt	19
complex_000115.pt	35
complex_000116.pt	11
complex_000117.pt	50
complex_000118.pt	38
complex_000119.pt	43
complex_000120.pt	50
complex_000121.pt	54
complex_000122.pt	21
complex_000123.pt	13
complex_000124.pt	20
complex_000125.pt	33
complex_000126.pt	92
complex_000127.pt	22
complex_000128.pt	30
complex_000129.pt	6
complex_000130.pt	26
complex_000131.pt	92
complex_000132.pt	76
complex_000133.pt	62
complex_000134.pt	62
complex_000135.pt	74
complex_000136.pt	68
complex_000137.pt	73
complex_000138.pt	3
complex_000139.pt	15
complex_000140.pt	53
complex_000141.pt	34
complex_000142.pt	3
complex_000143.pt	56
complex_000144.pt	80
complex_000145.pt	35
complex_000146.pt	38
complex_000147.pt	67
complex_000148.pt	21
complex_000149.pt	53
complex_000150.pt	73
complex_000151.pt	85
complex_000152.pt	82
complex_000153.pt	7
complex_000154.pt	90
complex_000155.pt	47
complex_000156.pt	84
complex_000157.pt	83
complex_000158.pt	7
complex_000159.pt	20
complex_000160.pt	84
complex_000161.pt	92
complex_000162.pt	80
complex_000163.pt	71
complex_000164.pt	29
complex_000165.pt	3
complex_000166.pt	50
complex_000167.pt	28
complex_000168.pt	28
complex_000169.pt	6
complex_000170.pt	67
complex_000171.pt	16
complex_000172.pt	56
complex_000173.pt	13
complex_000174.pt	60
complex_000175.pt	80
complex_000176.pt	18
complex_000177.pt	26
