Overall Average Silhouette Score: 0.191679

Per-Cluster Silhouette Scores:
Cluster 0: 0.210893 (234 samples)
Cluster 1: 0.256013 (282 samples)
Cluster 2: 0.212694 (226 samples)
Cluster 3: -0.052068 (143 samples)
Cluster 4: 0.051432 (63 samples)
Cluster 5: 0.227571 (359 samples)
Cluster 6: 0.172284 (168 samples)
Cluster 7: 0.265995 (313 samples)
Cluster 8: 0.169728 (319 samples)
Cluster 9: 0.240331 (108 samples)
Cluster 10: 0.155005 (224 samples)
Cluster 11: 0.220544 (228 samples)
Cluster 12: -0.064780 (69 samples)
Cluster 13: 0.067459 (125 samples)
Cluster 14: 0.265619 (198 samples)
Cluster 15: 0.260663 (203 samples)
Cluster 16: 0.213782 (321 samples)
Cluster 17: 0.257875 (150 samples)
Cluster 18: 0.147484 (218 samples)
Cluster 19: 0.245719 (199 samples)
Cluster 20: 0.175291 (188 samples)
Cluster 21: 0.054532 (76 samples)
Cluster 22: 0.237348 (262 samples)
Cluster 23: 0.127454 (104 samples)
Cluster 24: 0.129124 (169 samples)
Cluster 25: 0.043686 (174 samples)
Cluster 26: 0.274878 (253 samples)
Cluster 27: 0.219303 (168 samples)
Cluster 28: 0.201072 (209 samples)
Cluster 29: 0.211602 (366 samples)
Cluster 30: 0.086684 (190 samples)
Cluster 31: 0.201740 (319 samples)
Cluster 32: 0.195485 (184 samples)
Cluster 33: 0.152080 (185 samples)
Cluster 34: 0.282805 (227 samples)
Cluster 35: 0.378111 (295 samples)
Cluster 36: 0.224037 (216 samples)
Cluster 37: 0.218302 (177 samples)
Cluster 38: 0.179457 (245 samples)
Cluster 39: 0.145987 (177 samples)
Cluster 40: 0.191143 (138 samples)
Cluster 41: 0.149949 (226 samples)
Cluster 42: -0.016743 (76 samples)
Cluster 43: 0.246813 (172 samples)
Cluster 44: 0.097513 (91 samples)
Cluster 45: 0.165206 (184 samples)
Cluster 46: 0.286369 (300 samples)
Cluster 47: 0.193256 (145 samples)
Cluster 48: 0.272573 (228 samples)
Cluster 49: 0.268642 (462 samples)
Cluster 50: 0.294148 (233 samples)
Cluster 51: 0.209546 (171 samples)
Cluster 52: 0.114367 (72 samples)
Cluster 53: 0.230694 (267 samples)
Cluster 54: 0.199355 (118 samples)
Cluster 55: 0.119362 (151 samples)
Cluster 56: 0.150051 (268 samples)
Cluster 57: 0.081264 (110 samples)
Cluster 58: 0.143913 (163 samples)
Cluster 59: 0.255516 (189 samples)
Cluster 60: 0.111517 (214 samples)
Cluster 61: 0.232018 (199 samples)
Cluster 62: 0.250227 (260 samples)
Cluster 63: -0.012104 (104 samples)
Cluster 64: 0.088853 (113 samples)
Cluster 65: 0.205685 (141 samples)
Cluster 66: 0.004697 (86 samples)
Cluster 67: 0.307726 (176 samples)
Cluster 68: 0.281005 (299 samples)
Cluster 69: 0.153274 (175 samples)
Cluster 70: 0.054867 (89 samples)
Cluster 71: 0.066498 (164 samples)
Cluster 72: 0.142133 (159 samples)
Cluster 73: 0.280487 (269 samples)
Cluster 74: 0.074352 (176 samples)
Cluster 75: 0.188579 (271 samples)
Cluster 76: 0.240248 (116 samples)
Cluster 77: 0.134237 (153 samples)
Cluster 78: 0.051164 (159 samples)
Cluster 79: 0.184196 (151 samples)
Cluster 80: 0.127010 (166 samples)
Cluster 81: 0.179190 (179 samples)
Cluster 82: 0.079482 (124 samples)
Cluster 83: 0.131718 (194 samples)
Cluster 84: 0.187343 (209 samples)
Cluster 85: 0.204868 (221 samples)
Cluster 86: 0.090392 (66 samples)
Cluster 87: 0.258199 (179 samples)
Cluster 88: 0.055758 (93 samples)
Cluster 89: 0.030147 (106 samples)
Cluster 90: 0.239425 (94 samples)
Cluster 91: 0.043845 (110 samples)
Cluster 92: 0.238932 (251 samples)
