pocket_cluster,scaffold_index,count
0.0,0,12
0.0,1,2
0.0,3,55
0.0,4,3
0.0,6,15
0.0,9,7
0.0,13,4
0.0,14,3
0.0,15,4
0.0,17,1
0.0,23,1
0.0,32,2
0.0,36,20
0.0,45,1
0.0,49,2
0.0,59,1
0.0,86,2
0.0,105,1
0.0,125,1
0.0,341,2
0.0,753,1
0.0,761,1
0.0,783,1
0.0,874,2
0.0,888,1
0.0,909,1
0.0,910,1
0.0,915,1
0.0,941,1
0.0,965,1
0.0,1261,8
0.0,1278,4
0.0,1629,1
0.0,1740,1
0.0,1768,1
0.0,1864,1
0.0,1871,1
0.0,1897,1
0.0,1938,8
0.0,2121,1
0.0,2260,1
0.0,2305,1
0.0,2400,1
0.0,2485,1
0.0,2523,2
0.0,2561,1
0.0,2620,1
0.0,2627,1
0.0,2937,1
1.0,0,18
1.0,1,5
1.0,3,36
1.0,4,2
1.0,6,6
1.0,9,5
1.0,13,3
1.0,14,1
1.0,15,2
1.0,17,2
1.0,23,4
1.0,32,5
1.0,36,2
1.0,47,1
1.0,49,6
1.0,59,1
1.0,61,1
1.0,125,1
1.0,210,2
1.0,216,2
1.0,342,1
1.0,874,3
1.0,891,1
1.0,965,7
1.0,1108,2
1.0,1182,13
1.0,1261,86
1.0,1270,3
1.0,1281,2
1.0,1329,5
1.0,1330,7
1.0,1365,2
1.0,1386,1
1.0,1402,1
1.0,1461,1
1.0,1561,1
1.0,2020,1
1.0,2505,2
1.0,2547,1
1.0,2583,1
1.0,2585,2
2.0,0,34
2.0,1,9
2.0,3,112
2.0,4,77
2.0,5,2
2.0,6,39
2.0,9,12
2.0,13,42
2.0,14,27
2.0,17,2
2.0,23,2
2.0,32,6
2.0,36,25
2.0,39,3
2.0,49,1
2.0,59,10
2.0,99,1
2.0,101,1
2.0,105,1
2.0,110,1
2.0,119,1
2.0,121,1
2.0,138,1
2.0,165,1
2.0,191,5
2.0,287,2
2.0,292,2
2.0,300,4
2.0,304,1
2.0,314,1
2.0,426,1
2.0,446,1
2.0,539,1
2.0,547,2
2.0,603,1
2.0,665,2
2.0,757,1
2.0,827,3
2.0,874,1
2.0,1024,1
2.0,1040,1
2.0,1068,1
2.0,1084,2
2.0,1141,1
2.0,1218,3
2.0,1250,1
2.0,1260,3
2.0,1261,20
2.0,1281,2
2.0,1283,4
2.0,1294,2
2.0,1488,3
2.0,1572,1
2.0,1943,1
2.0,1952,1
2.0,2028,2
2.0,2195,1
2.0,2421,3
2.0,2584,3
2.0,2588,2
3.0,0,4
3.0,1,3
3.0,3,45
3.0,4,7
3.0,6,10
3.0,9,6
3.0,13,7
3.0,14,1
3.0,15,1
3.0,17,1
3.0,23,1
3.0,34,2
3.0,36,1
3.0,39,1
3.0,45,1
3.0,49,2
3.0,55,1
3.0,59,1
3.0,64,1
3.0,747,1
3.0,893,1
3.0,1281,1
3.0,1336,1
3.0,1423,1
3.0,1426,1
3.0,1999,1
3.0,2028,4
3.0,2094,1
3.0,2372,1
3.0,2718,1
3.0,2847,1
4.0,0,11
4.0,1,2
4.0,3,122
4.0,4,17
4.0,6,31
4.0,9,24
4.0,13,53
4.0,14,1
4.0,17,7
4.0,32,15
4.0,36,2
4.0,39,1
4.0,44,3
4.0,48,1
4.0,49,1
4.0,59,7
4.0,61,1
4.0,64,1
4.0,86,1
4.0,101,3
4.0,105,3
4.0,117,1
4.0,167,1
4.0,169,1
4.0,205,1
4.0,635,1
4.0,941,1
4.0,999,1
4.0,1054,2
4.0,1087,2
4.0,1112,1
4.0,1130,1
4.0,1163,1
4.0,1195,1
4.0,1216,3
4.0,1260,1
4.0,1261,22
4.0,1309,8
4.0,1433,1
4.0,1773,1
4.0,1839,1
4.0,1985,2
4.0,2036,1
4.0,2157,1
4.0,2344,2
4.0,2626,4
4.0,2699,2
5.0,0,39
5.0,1,7
5.0,3,58
5.0,4,2
5.0,6,10
5.0,9,6
5.0,13,27
5.0,14,4
5.0,15,1
5.0,17,2
5.0,23,1
5.0,32,1
5.0,42,1
5.0,49,1
5.0,59,13
5.0,61,1
5.0,81,1
5.0,95,1
5.0,105,1
5.0,125,1
5.0,216,1
5.0,277,2
5.0,287,1
5.0,297,1
5.0,309,1
5.0,372,1
5.0,429,1
5.0,430,1
5.0,470,1
5.0,570,2
5.0,663,5
5.0,827,2
5.0,886,1
5.0,933,1
5.0,947,1
5.0,1054,1
5.0,1076,2
5.0,1135,4
5.0,1140,1
5.0,1160,1
5.0,1258,2
5.0,1261,2
5.0,1381,1
5.0,1409,1
5.0,1415,1
5.0,1451,1
5.0,1472,1
5.0,1556,1
5.0,1663,1
5.0,1709,2
5.0,1733,1
5.0,1756,1
5.0,1795,1
5.0,1841,1
5.0,1845,2
5.0,2040,1
5.0,2095,1
5.0,2104,4
5.0,2112,2
5.0,2136,2
5.0,2246,1
5.0,2256,2
5.0,2301,2
5.0,2461,1
5.0,2560,1
5.0,2629,1
5.0,2685,1
5.0,2709,4
5.0,2752,2
5.0,2805,2
5.0,2855,1
5.0,2896,1
6.0,0,18
6.0,1,4
6.0,3,112
6.0,4,23
6.0,5,4
6.0,6,79
6.0,9,10
6.0,13,38
6.0,14,8
6.0,17,2
6.0,23,2
6.0,32,7
6.0,39,1
6.0,45,1
6.0,46,1
6.0,49,3
6.0,59,12
6.0,61,2
6.0,92,1
6.0,101,2
6.0,145,1
6.0,165,2
6.0,181,1
6.0,256,1
6.0,300,1
6.0,303,2
6.0,320,1
6.0,352,1
6.0,439,4
6.0,709,1
6.0,790,1
6.0,985,3
6.0,995,1
6.0,1024,1
6.0,1073,1
6.0,1094,2
6.0,1159,1
6.0,1261,1
6.0,1445,1
6.0,1734,1
6.0,1800,1
6.0,1804,1
6.0,1808,1
6.0,1815,1
6.0,2030,1
6.0,2190,1
6.0,2319,1
6.0,2329,2
6.0,2845,1
7.0,0,38
7.0,1,3
7.0,3,10
7.0,13,4
7.0,14,3
7.0,15,1
7.0,34,2
7.0,42,1
7.0,46,1
7.0,49,3
7.0,59,5
7.0,125,1
7.0,277,1
7.0,380,1
7.0,424,1
7.0,663,2
7.0,874,9
7.0,898,1
7.0,934,1
7.0,962,1
7.0,965,1
7.0,1217,1
7.0,1261,41
7.0,1263,2
7.0,1278,2
7.0,1322,2
7.0,1330,4
7.0,1746,1
7.0,2104,3
7.0,2482,1
7.0,2940,1
8.0,0,40
8.0,1,2
8.0,3,34
8.0,4,2
8.0,6,5
8.0,13,2
8.0,14,1
8.0,15,16
8.0,17,6
8.0,30,1
8.0,32,1
8.0,36,13
8.0,38,1
8.0,39,1
8.0,42,1
8.0,45,3
8.0,49,3
8.0,61,1
8.0,86,9
8.0,125,2
8.0,148,2
8.0,153,2
8.0,162,1
8.0,210,1
8.0,227,1
8.0,316,2
8.0,498,1
8.0,638,1
8.0,653,2
8.0,729,1
8.0,874,2
8.0,905,10
8.0,912,1
8.0,965,1
8.0,969,1
8.0,1054,1
8.0,1067,4
8.0,1101,1
8.0,1109,2
8.0,1116,1
8.0,1145,1
8.0,1174,3
8.0,1182,23
8.0,1209,2
8.0,1260,7
8.0,1261,228
8.0,1265,2
8.0,1269,3
8.0,1270,1
8.0,1281,8
8.0,1329,2
8.0,1330,3
8.0,1387,2
8.0,1395,2
8.0,1398,5
8.0,1494,1
8.0,1768,1
8.0,2204,1
8.0,2307,1
8.0,2387,1
8.0,2452,1
8.0,2460,1
8.0,2535,2
8.0,2536,2
8.0,2784,1
8.0,2867,1
9.0,0,59
9.0,1,5
9.0,3,123
9.0,4,13
9.0,6,39
9.0,7,1
9.0,9,22
9.0,12,1
9.0,13,47
9.0,14,15
9.0,17,3
9.0,23,3
9.0,32,4
9.0,36,12
9.0,37,2
9.0,39,2
9.0,45,1
9.0,48,1
9.0,49,6
9.0,59,9
9.0,61,3
9.0,84,1
9.0,86,1
9.0,92,2
9.0,105,4
9.0,125,1
9.0,148,1
9.0,151,4
9.0,212,1
9.0,222,1
9.0,277,2
9.0,300,8
9.0,344,1
9.0,378,1
9.0,386,1
9.0,395,1
9.0,399,1
9.0,404,11
9.0,417,1
9.0,428,2
9.0,507,1
9.0,547,1
9.0,586,1
9.0,593,1
9.0,611,1
9.0,663,71
9.0,665,1
9.0,678,2
9.0,695,1
9.0,707,1
9.0,815,3
9.0,829,1
9.0,867,1
9.0,874,2
9.0,891,1
9.0,1054,18
9.0,1055,1
9.0,1150,2
9.0,1173,1
9.0,1182,1
9.0,1223,6
9.0,1261,8
9.0,1273,2
9.0,1321,10
9.0,1384,12
9.0,1407,1
9.0,1577,1
9.0,1601,1
9.0,1670,1
9.0,1803,1
9.0,1899,2
9.0,1973,1
9.0,2002,2
9.0,2024,2
9.0,2034,2
9.0,2042,1
9.0,2080,2
9.0,2114,1
9.0,2277,1
9.0,2376,2
9.0,2398,1
9.0,2530,1
9.0,2540,1
9.0,2593,1
9.0,2605,2
9.0,2649,1
9.0,2665,1
9.0,2721,1
9.0,2787,1
10.0,0,31
10.0,3,48
10.0,4,15
10.0,6,13
10.0,9,5
10.0,12,3
10.0,13,24
10.0,14,8
10.0,17,3
10.0,23,3
10.0,36,7
10.0,39,1
10.0,59,3
10.0,64,1
10.0,86,1
10.0,105,2
10.0,165,1
10.0,181,1
10.0,295,1
10.0,383,1
10.0,578,2
10.0,665,1
10.0,929,1
10.0,1083,2
10.0,1109,1
10.0,1182,5
10.0,1260,2
10.0,1346,4
10.0,1355,1
10.0,1537,1
10.0,1542,1
10.0,1589,1
10.0,1612,3
10.0,1657,1
10.0,1747,1
10.0,2006,2
10.0,2202,3
10.0,2279,1
10.0,2401,2
10.0,2404,1
10.0,2485,2
10.0,2614,1
10.0,2744,4
11.0,0,87
11.0,1,4
11.0,3,25
11.0,4,5
11.0,6,3
11.0,9,6
11.0,13,11
11.0,14,5
11.0,15,4
11.0,17,5
11.0,23,3
11.0,32,1
11.0,36,5
11.0,46,2
11.0,49,2
11.0,54,1
