rec_id,lig_code,smiles,BM_scaffold,BM_scaffold_canon,scaffold_index,cluster_label
4h4e_1.pdb_4h4e_1_10G_D.pdb,10G,C\C(CS)=C/CO[P](O)(=O)O[P](O)(O)=O,,,0,15.0
6llw_2.pdb_6llw_2_UDP_D.pdb,UDP,O[C@H]1[C@@H](O)[C@@H](O[C@@H]1CO[P](O)(=O)O[P](O)(O)=O)N2C=CC(=O)NC2=O,O=c1ccn([C@H]2CCCO2)c(=O)[nH]1,O=c1ccn(C2CCCO2)c(=O)[nH]1,1,79.0
3tz9_1.pdb_3tz9_1_AQU_C.pdb,AQU,CC(C)(C)c1cc(NC(=O)Nc2ccc(Nc3ncnc4ccccc34)cc2)n(n1)c5cccc(N)c5,O=C(Nc1ccc(Nc2ncnc3ccccc23)cc1)Nc1ccnn1-c1ccccc1,O=C(Nc1ccc(Nc2ncnc3ccccc23)cc1)Nc1ccnn1-c1ccccc1,2,25.0
6we6_1.pdb_6we6_1_HEM_C.pdb,HEM,CC1=C(CCC(O)=O)C2=Cc3n4[Fe]5|6|N2=C1C=c7n5c(=CC8=N|6C(=Cc4c(C)c3CCC(O)=O)C(=C8C=C)C)c(C)c7C=C,,,0,82.0
7y47_1.pdb_7y47_1_GRG_C.pdb,GRG,CC(C)=CCCC(/C)=C/CC\C(C)=C\CC\C(C)=C\CO[P](O)(=O)O[P](O)(O)=O,,,0,81.0
7e1g_2.pdb_7e1g_2_ANP_F.pdb,ANP,Nc1ncnc2n(cnc12)[C@@H]3O[C@H](CO[P](O)(=O)O[P](O)(=O)N[P](O)(O)=O)[C@@H](O)[C@H]3O,c1ncc2ncn([C@H]3CCCO3)c2n1,c1ncc2ncn(C3CCCO3)c2n1,3,4.0
4iir_1.pdb_4iir_1_ANP_C.pdb,ANP,Nc1ncnc2n(cnc12)[C@@H]3O[C@H](CO[P](O)(=O)O[P](O)(=O)N[P](O)(O)=O)[C@@H](O)[C@H]3O,c1ncc2ncn([C@H]3CCCO3)c2n1,c1ncc2ncn(C3CCCO3)c2n1,3,71.0
5tr9_2.pdb_5tr9_2_FAD_Y.pdb,FAD,Cc1cc2N=C3C(=O)NC(=O)N=C3N(C[C@H](O)[C@H](O)[C@H](O)CO[P@](O)(=O)O[P@@](O)(=O)OC[C@H]4O[C@H]([C@H](O)[C@@H]4O)n5cnc6c(N)ncnc56)c2cc1C,O=c1nc2n(CCCCCO[PH](=O)O[PH](=O)OC[C@@H]3CC[C@H](n4cnc5cncnc54)O3)c3ccccc3nc-2c(=O)[nH]1,O=c1nc2n(CCCCCO[PH](=O)O[PH](=O)OCC3CCC(n4cnc5cncnc54)O3)c3ccccc3nc-2c(=O)[nH]1,4,76.0
1y1p_1.pdb_1y1p_1_NMN_E.pdb,NMN,NC(=O)c1ccc[n+](c1)[C@@H]2O[C@H](CO[P](O)(O)=O)[C@@H](O)[C@H]2O,c1cc[n+]([C@H]2CCCO2)cc1,c1cc[n+](C2CCCO2)cc1,5,47.0
2qu8_1.pdb_2qu8_1_GDP_B.pdb,GDP,NC1=Nc2n(cnc2C(=O)N1)[C@@H]3O[C@H](CO[P](O)(=O)O[P](O)(O)=O)[C@@H](O)[C@H]3O,O=c1[nH]cnc2c1ncn2[C@H]1CCCO1,O=c1[nH]cnc2c1ncn2C1CCCO1,6,96.0
2cbo_1.pdb_2cbo_1_TH2_D.pdb,TH2,C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@]34C)[C@@H]1CC[C@@H]2OC(=O)CCC(O)=O,O=C1C=C2CC[C@H]3[C@@H]4CCCC4CC[C@@H]3C2CC1,O=C1C=C2CCC3C4CCCC4CCC3C2CC1,7,110.0
5l6p_1.pdb_5l6p_1_6P8_B.pdb,6P8,CC(=O)Nc1ccc2c(Nc3ccccc3)ncnc2c1,c1ccc(Nc2ncnc3ccccc23)cc1,c1ccc(Nc2ncnc3ccccc23)cc1,8,
