ligand,affinity
ligand_25,-6.89
ligand_22,-6.857
ligand_43,-6.662
ligand_28,-6.503
ligand_45,-6.449
ligand_6,-6.316
ligand_27,-6.249
ligand_11,-6.14
ligand_15,-6.064
ligand_34,-5.974
ligand_47,-5.928
ligand_14,-5.769
ligand_17,-5.761
ligand_10,-5.667
ligand_31,-5.648
ligand_42,-5.602
ligand_41,-5.37
ligand_2,-5.364
ligand_19,-5.354
ligand_32,-5.32
ligand_49,-5.283
ligand_7,-5.203
ligand_44,-5.123
ligand_24,-4.972
ligand_46,-4.965
ligand_4,-4.894
ligand_9,-4.817
ligand_5,-4.742
ligand_39,-4.603
ligand_35,-4.592
ligand_20,-4.528
ligand_23,-4.516
ligand_33,-4.342
ligand_13,-4.301
ligand_38,-4.273
ligand_8,-4.226
ligand_36,-3.908
ligand_30,-3.691
ligand_16,-3.407
ligand_12,-3.18
ligand_29,-3.148
ligand_37,-2.876
ligand_26,-2.037
ligand_40,-1.941
ligand_1,-1.928
ligand_48,-1.818
ligand_3,-0.8923
ligand_21,-0.8923
ligand_18,-0.5896
