,generation,score,fate,mol,smiles
0,0,0.557310010650226,initial,<rdkit.Chem.rdchem.Mol object at 0x146f20ea8b30>,Nc1nocc1-c1cccc2oc3ccccc3c12
1,1,0.5595169671439328,survived,<rdkit.Chem.rdchem.Mol object at 0x146ef9945120>,Cc1[nH]nnc1-c1cccc2oc3ccccc3c12
2,1,0.8428912604322071,survived,<rdkit.Chem.rdchem.Mol object at 0x146ef99457b0>,Cc1[nH]nnc1C1=CC=NC2=Nc3ccccc3C12
3,1,0.6542888807176785,survived,<rdkit.Chem.rdchem.Mol object at 0x146ef9945300>,Nc1[nH]nnc1C1=c2c(oc3ccccc23)=NCC1
4,1,0.5416505969239087,survived,<rdkit.Chem.rdchem.Mol object at 0x146ef9945850>,Nc1[nH]ncc1-c1cccc2oc3ccccc3c12
5,1,0.7669599638576237,survived,<rdkit.Chem.rdchem.Mol object at 0x146ef9944b80>,Cc1[nH]nnc1C1=C2C(=NC3=C2CCNC3)C(=O)C1
6,1,0.5412150024877043,survived,<rdkit.Chem.rdchem.Mol object at 0x146ef99463e0>,Nc1[nH]nnc1-c1ccnc2oc3ccccc3c12
7,1,0.8428912604322071,survived,<rdkit.Chem.rdchem.Mol object at 0x146ef9946b10>,Cc1[nH]nnc1C1=CC=NC2=Nc3ccccc3C12
8,1,0.7796311804531845,survived,<rdkit.Chem.rdchem.Mol object at 0x146f477e73d0>,Nc1[nH]nnc1-c1cccc2c1=C1C=CCC=C1N=2
9,1,0.5615758307136044,survived,<rdkit.Chem.rdchem.Mol object at 0x146ef9946b60>,Nc1nonc1-c1cccc2oc3ccccc3c12
10,1,0.8169049715048715,survived,<rdkit.Chem.rdchem.Mol object at 0x146ef989d990>,Nc1nonc1-c1cccc2c1=C1C=CCC=C1N=2
11,1,0.5438833412595755,survived,<rdkit.Chem.rdchem.Mol object at 0x146ef9946c00>,Nc1[nH]nnc1-c1cccc2oc3ccccc3c12
12,1,0.5624131707034867,survived,<rdkit.Chem.rdchem.Mol object at 0x146ef98c7e70>,Cn1ccnc1-c1cccc2nc3c[nH]ccc-3c12
13,1,0.5973857566447478,survived,<rdkit.Chem.rdchem.Mol object at 0x146f6591e4d0>,NC1=NONC1=C1N=CNC2=Nc3ccncc3C21
