,generation,score,fate,mol,smiles
0,0,0.75976656682469,initial,<rdkit.Chem.rdchem.Mol object at 0x1484e2f79310>,CO[C@@H](c1cccc(O)c1)[C@H]1CCCN1c1ccc(OC[C@@H](C)F)c(O)c1
1,1,0.7642524624943738,survived,<rdkit.Chem.rdchem.Mol object at 0x1484fdeb33d0>,COC(c1cccc(F)c1)C1CCCN1c1ccc(OCC(C)F)c(O)c1
2,1,0.7508633635781955,survived,<rdkit.Chem.rdchem.Mol object at 0x1484e3befe70>,COC(c1cccc(C)c1)C1CCCN1C1=CC=C(OC2CC2C)C(=O)C1
3,1,0.7308247442153453,survived,<rdkit.Chem.rdchem.Mol object at 0x1484e1a78bd0>,COC(c1cccc(F)c1)C1CCCN1c1ccc(OCC2CN2)c(O)c1
4,1,0.6913294107095151,survived,<rdkit.Chem.rdchem.Mol object at 0x1484e1a78d60>,COC(c1cccc(O)c1)C1CCCN1c1ccc(OCC(C)O)c(O)c1
5,1,0.750857176917969,survived,<rdkit.Chem.rdchem.Mol object at 0x1484e1a79170>,COC(c1cccc(F)c1)C1CCCN1c1ccc(OCC2CO2)c(O)c1
6,1,0.5911298453900059,survived,<rdkit.Chem.rdchem.Mol object at 0x1484e1a782c0>,COC(c1cccc(F)c1)C1CCCC1c1ccc(OCC2CC2)c(F)c1
7,1,0.7533053710013419,survived,<rdkit.Chem.rdchem.Mol object at 0x1484e39f7d30>,COC(C1=CN(C)CC=N1)C1NCCN1c1ccc(OCC(C)F)c(O)c1
8,1,0.7641920950202222,survived,<rdkit.Chem.rdchem.Mol object at 0x14851bff9120>,COC(c1cccc(O)c1)C1CCCN1c1ccc(OCC2CC2)c(O)c1
9,1,0.775613990356407,survived,<rdkit.Chem.rdchem.Mol object at 0x1484e1a78db0>,COC(c1cccc(O)c1)C1CCCN1c1ccc(OC2OC2C)c(F)c1
