rank,molecule_id,smiles,source_file,molecular_weight,logP,hydrogen_bond_acceptors,hydrogen_bond_donors,Lipinski,QED,stereo_centers,tpsa,AMES,BBB_Martins,Bioavailability_Ma,CYP1A2_Veith,CYP2C19_Veith,CYP2C9_Substrate_CarbonMangels,CYP2C9_Veith,CYP2D6_Substrate_CarbonMangels,CYP2D6_Veith,CYP3A4_Substrate_CarbonMangels,CYP3A4_Veith,Carcinogens_Lagunin,ClinTox,DILI,HIA_Hou,NR-AR-LBD,NR-AR,NR-AhR,NR-Aromatase,NR-ER-LBD,NR-ER,NR-PPAR-gamma,PAMPA_NCATS,Pgp_Broccatelli,SR-ARE,SR-ATAD5,SR-HSE,SR-MMP,SR-p53,Skin_Reaction,hERG,Caco2_Wang,Clearance_Hepatocyte_AZ,Clearance_Microsome_AZ,Half_Life_Obach,HydrationFreeEnergy_FreeSolv,LD50_Zhu,Lipophilicity_AstraZeneca,PPBR_AZ,Solubility_AqSolDB,VDss_Lombardo,molecular_weight_drugbank_approved_percentile,logP_drugbank_approved_percentile,hydrogen_bond_acceptors_drugbank_approved_percentile,hydrogen_bond_donors_drugbank_approved_percentile,Lipinski_drugbank_approved_percentile,QED_drugbank_approved_percentile,stereo_centers_drugbank_approved_percentile,tpsa_drugbank_approved_percentile,AMES_drugbank_approved_percentile,BBB_Martins_drugbank_approved_percentile,Bioavailability_Ma_drugbank_approved_percentile,CYP1A2_Veith_drugbank_approved_percentile,CYP2C19_Veith_drugbank_approved_percentile,CYP2C9_Substrate_CarbonMangels_drugbank_approved_percentile,CYP2C9_Veith_drugbank_approved_percentile,CYP2D6_Substrate_CarbonMangels_drugbank_approved_percentile,CYP2D6_Veith_drugbank_approved_percentile,CYP3A4_Substrate_CarbonMangels_drugbank_approved_percentile,CYP3A4_Veith_drugbank_approved_percentile,Carcinogens_Lagunin_drugbank_approved_percentile,ClinTox_drugbank_approved_percentile,DILI_drugbank_approved_percentile,HIA_Hou_drugbank_approved_percentile,NR-AR-LBD_drugbank_approved_percentile,NR-AR_drugbank_approved_percentile,NR-AhR_drugbank_approved_percentile,NR-Aromatase_drugbank_approved_percentile,NR-ER-LBD_drugbank_approved_percentile,NR-ER_drugbank_approved_percentile,NR-PPAR-gamma_drugbank_approved_percentile,PAMPA_NCATS_drugbank_approved_percentile,Pgp_Broccatelli_drugbank_approved_percentile,SR-ARE_drugbank_approved_percentile,SR-ATAD5_drugbank_approved_percentile,SR-HSE_drugbank_approved_percentile,SR-MMP_drugbank_approved_percentile,SR-p53_drugbank_approved_percentile,Skin_Reaction_drugbank_approved_percentile,hERG_drugbank_approved_percentile,Caco2_Wang_drugbank_approved_percentile,Clearance_Hepatocyte_AZ_drugbank_approved_percentile,Clearance_Microsome_AZ_drugbank_approved_percentile,Half_Life_Obach_drugbank_approved_percentile,HydrationFreeEnergy_FreeSolv_drugbank_approved_percentile,LD50_Zhu_drugbank_approved_percentile,Lipophilicity_AstraZeneca_drugbank_approved_percentile,PPBR_AZ_drugbank_approved_percentile,Solubility_AqSolDB_drugbank_approved_percentile,VDss_Lombardo_drugbank_approved_percentile,composite_score
1,3pbq_imipenem_iter1_filtered_19,CC(O)c1c2ccccc2nc2sc3c(F)c(N)sc3c12,3pbq_imipenem_iter1_filtered.sdf,318.398,4.4388000000000005,5,2,4.0,0.545319140083614,1,59.14,0.725761103630066,0.8743281841278077,0.8089619398117065,0.9739910364151001,0.8022669911384582,0.24606525301933288,0.6838043570518494,0.05941546522080898,0.09916353300213814,0.4545332193374634,0.7673016667366028,0.15022874921560286,0.058037012442946435,0.9609016180038452,0.9999871730804444,0.2171997219324112,0.10136458575725556,0.96603422164917,0.7701247453689575,0.11004645824432373,0.32775465548038485,0.326984828710556,0.9608734726905823,0.6188283920288086,0.9213470339775085,0.27719473242759707,0.3117868959903717,0.9308180928230285,0.6004672884941101,0.7903772950172424,0.5572518110275269,-4.821610041283716,38.93267089134996,8.121728178996218,92.21551172715593,-11.34155717121323,2.5439162632294297,3.1429057535401315,94.09749316132306,-3.8507161995513544,16.800348245713852,46.490887941062425,83.4044203179527,59.1120589375727,60.85692128732067,63.80379992245056,53.54788677782086,54.80806514152772,37.727801473439314,92.8266770065917,64.09461031407523,52.423419930205505,98.29391236913533,94.37766576192323,70.72508724311749,94.26134160527336,37.26250484683986,61.884451337727796,47.38270647537805,89.76347421481194,49.05001938735944,39.89918573090345,91.81853431562621,96.12252811167119,93.36952307095774,86.42884839084917,99.61225281116711,99.30205506010081,88.9104303993796,89.95734780922838,97.63474214811943,84.02481582008531,80.65141527723924,98.79798371461807,96.31640170608763,94.95928654517255,98.64288483908491,97.63474214811943,83.09422256688639,66.92516479255525,59.67429236138038,52.69484296238852,38.309422256688634,95.15316013958899,33.07483520744474,51.10507948817371,83.63706863125242,81.11671190383869,34.625823962776266,96.85924777045366,0.696962709801032
2,3pbq_imipenem_iter1_filtered_232,CC1(CC2(O)NC2Oc2cc(Cl)cc3ccsc23)CC1=O,3pbq_imipenem_iter1_filtered.sdf,323.8010000000001,2.920600000000001,5,2,4.0,0.848867331485246,3,68.47,0.45070950090885165,0.9598648071289062,0.9614409565925598,0.9167252898216247,0.7908959150314331,0.3530308365821838,0.4276382625102997,0.3309225678443909,0.4106795728206635,0.7056015133857727,0.6285740613937378,0.05751828253269196,0.21058291643857957,0.680068063735962,0.999997615814209,0.03281082345638424,0.025963430292904377,0.7734185338020325,0.35627529174089434,0.08798010498285294,0.31010364890098574,0.09227436110377311,0.974200713634491,0.1783082976937294,0.5518035054206848,0.24240002334117888,0.12351555228233338,0.6294146597385406,0.3956785976886749,0.3550743341445923,0.28535016477108,-4.9881742674174125,59.9362578219208,14.231141978259961,-4.238357717493996,-10.502413344321585,3.897377999002657,3.1144790769796176,96.95010892504385,-4.012658244611746,-1.5700246744024133,47.576580069794495,60.64366033346258,59.1120589375727,60.85692128732067,63.80379992245056,94.88173710740597,75.43621558743699,45.21132221791392,79.72082202404033,78.63512989530825,92.94300116324156,95.81233036060489,94.1062427297402,83.86971694455215,87.82473827064753,76.50252035672742,83.28809616130283,73.86583947266382,84.45133772780147,22.877084141139974,67.7782086079876,63.745637844125625,99.18573090345095,77.89841023652578,52.7723924001551,97.59596742923614,92.67157813105855,86.35129895308259,89.06552927491275,90.34509499806126,89.84102365257851,59.67429236138038,86.23497479643272,95.26948429623884,87.08801861186507,90.26754556029468,93.4858472276076,42.22566886390074,49.86428848390849,49.398991857309035,70.25979061651803,45.44397053121365,28.770841411399765,41.41139976735168,96.97557192710353,83.01667312911981,86.35129895308259,31.523846452113222,24.350523458704924,0.6366867089134951
3,3pbq_imipenem_iter1_filtered_287,C1=CC2=C(CC1)N=C1CC=c3sc4c(c3=C12)NNC4,3pbq_imipenem_iter1_filtered.sdf,267.357,1.5717999999999999,4,2,4.0,0.7484273689215646,0,36.42,0.862275755405426,0.9099130988121032,0.7272597491741181,0.9954696536064148,0.809568214416504,0.1560708686709404,0.7441900730133056,0.13820575848221778,0.6365495562553406,0.49323380589485166,0.9236662149429321,0.18845637142658234,0.0382842062972486,0.932976758480072,0.9999902963638305,0.033194949477911,0.020465881424024703,0.9896769642829895,0.3788931369781494,0.05799862965941429,0.33017500340938566,0.06446010917425156,0.9386070370674133,0.29159111976623536,0.8589419484138489,0.233281672000885,0.6652487277984619,0.9416850209236145,0.7066325843334198,0.9495884060859681,0.5688528299331665,-4.687483754723862,6.243173501261451,9.925453785521935,22.987976482240953,-8.828124907999811,2.656174856988355,2.1016332477111037,86.62093095235942,-3.9261139700819414,-2.46202413241694,31.717720046529664,39.89918573090345,46.47150058162078,60.85692128732067,63.80379992245056,81.93098100038775,22.489336952307095,18.747576580069794,95.88987979837145,68.86390073671966,40.20938348196975,99.88367584335013,94.4552151996898,52.03567274137262,95.65723148507173,57.03761147731679,89.10430399379604,50.67855758045754,95.92865451725474,56.61108956960062,31.213648701046917,85.73090345094998,96.85924777045366,78.09228383094222,45.36642109344707,99.84490112446684,93.98991857309034,79.52694842962389,90.03489724699496,87.08801861186507,76.2310973245444,66.38231872818922,97.51841799146956,95.15316013958899,98.33268708801862,98.75920899573478,98.72043427685149,97.05312136487011,67.3904614191547,68.0496316401706,19.73633191159364,40.4032570763862,69.56184567661884,58.23962776269872,58.82124854594804,62.15587436991082,66.7700659170221,33.38503295851105,18.8832880961613,0.633533237418945
4,3pbq_imipenem_iter1_filtered_93,CC1CC2CCCC2C(=O)C1NC1=NN=C2C(=O)N=CN=C12,3pbq_imipenem_iter1_filtered.sdf,299.33400000000006,0.7473999999999998,6,1,4.0,0.7734232476506039,4,95.61,0.772905969619751,0.8962562322616577,0.9290082335472107,0.8208723902702332,0.8032766580581665,0.4652141541242599,0.6435916304588318,0.15500068590044974,0.09913312578573823,0.6279982805252076,0.43881380259990693,0.13013882040977479,0.05538697373121977,0.9159209728240967,0.9999921083450317,0.01021192076150328,0.020568430237472058,0.6228192985057831,0.08890818879008293,0.03148279432207346,0.27502513229846953,0.18289228454232215,0.9613651633262634,0.35716238617897034,0.842518413066864,0.47895032465457915,0.2351075179874897,0.8994225263595581,0.5090298622846603,0.8306902766227722,0.15916189253330232,-4.874216323863196,7.344050960992431,43.08187621536017,-10.085369054419093,-8.44494807798167,3.310833272975804,2.2960769086032804,81.69053549785079,-4.180423392472252,2.8784573199929033,40.20938348196975,30.438154323381156,69.5036835982939,36.68088406359054,63.80379992245056,85.22683210546724,80.1085692128732,64.71500581620784,94.22256688639007,67.04148894920512,82.97789841023652,92.8266770065917,94.41644048080651,91.58588600232648,93.67972082202404,59.63551764249709,61.884451337727796,63.93951143854207,77.93718495540907,45.13377278014734,38.85226832105467,83.63706863125242,97.28576967816983,48.42962388522683,45.44397053121365,95.23070957735555,71.3067080263668,65.8006979449399,86.9716944552152,94.88173710740597,84.06359053896858,68.98022489336952,97.01434664598682,98.56533540131834,93.1756494765413,97.78984102365257,95.96742923613803,87.08801861186507,38.193098100038775,56.80496316401706,20.822024040325708,73.32299340829779,19.232260566110895,62.03955021326095,89.14307871267933,66.34354400930593,58.74369910818147,27.995347033734006,60.2559131446297,0.6263695619880799
5,3pbq_imipenem_iter1_filtered_140,Oc1cc2c(Cl)c(F)ccc2cc1N1CCOCC1,3pbq_imipenem_iter1_filtered.sdf,281.71400000000006,3.174500000000002,3,1,4.0,0.8713721611136226,0,32.7,0.501664137840271,0.9048105597496032,0.8900581359863281,0.9798006653785706,0.8305946946144104,0.343371057510376,0.7102402508258819,0.33613751232624056,0.050700262561440466,0.5247680246829987,0.2921902760863304,0.08834777027368546,0.020181869715452196,0.9544952511787415,0.99998779296875,0.02689596600830555,0.04310119301080704,0.869829797744751,0.3453838527202606,0.1650423973798752,0.3059392809867859,0.2050090491771698,0.9640421986579895,0.15523481070995332,0.7578177452087402,0.31097587645053865,0.1565682128071785,0.7010604977607727,0.49517866373062136,0.5427972674369812,0.4342751741409302,-4.383843638300959,99.34181584404402,55.17173258262553,14.605572783615282,-10.259887654543261,2.6792995190484654,3.068930418349573,91.29811362977459,-4.649909335161387,0.6706923689548207,35.40131834044203,64.4823575029081,31.17487398216363,36.68088406359054,63.80379992245056,97.16944552151996,22.489336952307095,16.789453276463746,82.78402481582009,68.28227995347034,70.33734005428461,98.60411012020163,95.03683598293912,82.78402481582009,95.03683598293912,76.851492826677,50.67855758045754,53.39278790228771,71.73322993408297,34.00542846064366,18.99961225281117,90.07367196587825,96.35517642497092,74.13726250484683,69.56184567661884,98.79798371461807,92.28383094222566,92.36138037999224,88.71655680496316,95.30825901512213,85.26560682435053,57.54168282279953,94.72663823187281,96.93679720822024,89.64715005816208,92.59402869329197,95.81233036060489,61.884451337727796,60.44978673904614,87.78596355176424,90.11244668476154,80.53509112058937,60.87630864676231,44.00930593253199,60.52733617681272,82.27995347033733,75.8821248545948,19.50368359829391,42.45831717720046,0.6246059937322692
6,3pbq_imipenem_iter1_filtered_294,C1=Nc2cc3c(cc2=N1)C(Nc1ccccc1)=NN=3,3pbq_imipenem_iter1_filtered.sdf,247.26100000000002,1.3865,5,1,4.0,0.8127958383658015,0,61.47,0.8963061451911927,0.9520766735076904,0.9423154592514038,0.9956887364387512,0.4854092597961426,0.2133450135588646,0.293621751666069,0.2984421744942665,0.5689599335193634,0.5049047410488129,0.5105373740196228,0.09968336299061775,0.037957836780697106,0.9463646173477173,0.9999773025512695,0.05184146426618099,0.05771329775452614,0.9672927737236023,0.2604464739561081,0.04124294817447662,0.5639013528823853,0.09014026559889317,0.953705656528473,0.41541615724563596,0.8722999691963196,0.7263307213783264,0.18783887773752211,0.9389399886131287,0.4978417992591858,0.8909729957580567,0.7787380933761596,-4.722483758149705,7.383539555130639,8.621468159252533,-16.30687012906494,-8.98585167092791,2.5781478219460414,1.642143480430183,76.94262898216465,-3.8335075226213093,-2.695798259242148,26.521907716169057,37.37882900348973,59.1120589375727,36.68088406359054,63.80379992245056,90.65529274912757,22.489336952307095,39.51143854207057,97.16944552151996,76.69639395114385,87.20434276851492,99.88367584335013,83.32687088018612,64.59868165955797,82.24117875145404,74.40868553702985,87.43699108181465,51.72547499030632,80.1473439317565,37.068631252423415,31.097324544397054,88.32880961613029,93.71849554090733,84.9941837921675,76.77394338891042,99.6510275300504,89.18185343156262,72.04342768514928,95.61845676618844,90.26754556029468,81.15548662272198,71.84955409073284,97.86739046141915,99.6510275300504,91.58588600232648,98.75920899573478,95.88987979837145,92.59402869329197,76.89026754556029,65.95579682047305,20.899573478092282,38.735944164404806,11.20589375727026,56.88251260178364,53.7417603722373,53.27646374563784,52.19077161690578,35.05234587049244,17.603722373012793,0.623817423384987
7,3pbq_imipenem_iter1_filtered_194,Cc1cccc(Nc2c(F)ccc(O)c2O)c1,3pbq_imipenem_iter1_filtered.sdf,233.24200000000002,3.288920000000001,3,3,4.0,0.6974831016702028,0,52.489999999999995,0.5985073149204254,0.37274339497089387,0.8845118045806885,0.9737594604492188,0.6940506219863891,0.21016418933868408,0.6851565062999725,0.22408437728881836,0.3537107527256012,0.5928108513355255,0.7335503101348877,0.33006962686777114,0.003640419733710587,0.7936606884002686,0.9999840974807739,0.007117348816245794,0.03549365177750587,0.8624625444412232,0.2260838270187378,0.19737165719270705,0.3349739134311676,0.14297616258263587,0.7393864750862121,0.053081735223531726,0.9330138087272644,0.21621630787849427,0.24982047826051712,0.964564847946167,0.49738098978996276,0.9010583519935608,0.48283156752586365,-4.993943690391191,110.30689630236978,50.94257866269301,-1.604356347226498,-8.79656903161608,2.477698254890376,3.1800201675837885,87.42903209271402,-3.0264714793279164,1.581477938732456,22.99340829778984,66.30476929042264,31.17487398216363,77.25862737495153,63.80379992245056,74.68010856921288,22.489336952307095,31.9115936409461,87.74718883288097,22.60566110895696,68.67002714230321,98.29391236913533,90.77161690577744,64.28848390849166,94.30011632415665,68.55370298565336,81.426909654905,60.139588987979835,88.75533152384645,75.84335013571152,6.669251647925552,70.91896083753393,95.23070957735555,39.78286157425359,63.70686312524234,98.72043427685149,87.20434276851492,93.4858472276076,90.2287708414114,93.40829778984101,48.933695230709574,43.66033346258239,98.87553315238465,94.4552151996898,93.52462194649088,99.30205506010081,95.88987979837145,93.33074835207445,62.582396277626984,49.24389298177588,92.98177588212485,77.97595967429235,33.462582396277625,58.54982551376502,46.37456378441256,84.52888716556805,68.63125242341992,50.25203567274137,50.67855758045754,0.6222020462101554
8,3pbq_imipenem_iter1_filtered_330,O=C1N=C2C=CN=C2N1c1ccc2c(c1O)CCCC2,3pbq_imipenem_iter1_filtered.sdf,267.28799999999995,2.5778000000000008,3,1,4.0,0.8494501605585636,0,65.26,0.495524650812149,0.9457265615463257,0.9213908433914184,0.9608931422233582,0.6141201674938201,0.6053475201129913,0.7613078951835632,0.2298287570476532,0.20620612055063248,0.5940928220748901,0.10324053540825844,0.14346621036529542,0.016678697150200605,0.9010337352752685,0.9999926805496215,0.005454696528613567,0.04851863905787468,0.6703746914863586,0.07211768329143524,0.04791117105633021,0.5205989003181457,0.040647796262055634,0.9575692653656006,0.42733407467603685,0.7937048196792602,0.48172628283500674,0.07301541864871978,0.9751553654670715,0.4723530650138855,0.7032142281532288,0.4768513709306717,-4.683704203228888,23.15113131163991,55.9511135366558,-2.827651861306331,-9.85292476048222,2.960928809978108,2.394730790066817,97.49353415143719,-4.391550777255456,5.661467495524981,31.640170608763086,54.672353625436216,31.17487398216363,36.68088406359054,63.80379992245056,94.99806126405583,22.489336952307095,43.19503683598294,82.27995347033733,75.14540519581233,80.53509112058937,97.51841799146956,88.290034897247,96.85924777045366,95.85110507948818,69.21287320666924,74.02093834819698,60.29468786351299,55.75804575416828,47.61535478867778,16.711903838697168,81.38813493602171,97.51841799146956,33.57890655292749,72.23730127956573,96.0837533927879,67.31291198138814,75.76580069794494,95.03683598293912,81.19426134160527,82.47382706475378,72.23730127956573,95.88987979837145,98.64288483908491,80.61264055835595,99.53470337340055,95.30825901512213,76.38619620007755,62.31097324544397,68.3986041101202,35.866614967041485,81.0779371849554,31.36874757658007,47.92555253974409,76.92904226444358,67.7782086079876,87.04924389298178,24.27297402093835,78.51880573865839,0.6171052911087305
9,3pbq_imipenem_iter1_filtered_76,O=C1N=Cc2c(O)cc(C3=C4OC=CNC4=CCC=C3)cc21,3pbq_imipenem_iter1_filtered.sdf,292.294,2.6108000000000002,4,2,4.0,0.8343766076482385,0,70.92,0.8477691769599914,0.6964248061180115,0.7717332541942596,0.9721284627914428,0.4510637283325195,0.1973759114742279,0.4154123365879059,0.1423365019261837,0.33216532766819,0.5848501920700073,0.5334598332643509,0.04518922418355942,0.05486909355968237,0.9455754399299622,0.9999625205993652,0.019957482628524304,0.055864757299423216,0.8112550973892212,0.18810990452766418,0.18605997562408447,0.5849662780761719,0.036553478613495824,0.9545502901077271,0.3768536776304245,0.829503059387207,0.46251553297042847,0.1949172295629978,0.8996808767318726,0.3010508120059967,0.8748191237449646,0.4795885026454926,-4.899931163675537,52.207089299215355,40.165938858055036,-21.68749004989113,-11.655473339724292,2.7579874435582794,2.3811219039504534,99.56513232763743,-4.524004974819667,-5.120752565854176,38.231872818922064,55.409073284218685,46.47150058162078,60.85692128732067,63.80379992245056,93.21442419542458,22.489336952307095,46.72353625436215,95.54090732842187,46.335789065529276,46.10314075222954,98.13881349360217,81.77588212485459,61.61302830554478,87.32066692516479,57.735556417215975,80.1473439317565,58.82124854594804,81.27181077937185,18.34044203179527,38.619620007754946,88.25126017836371,91.00426521907715,66.61496704148895,76.07599844901124,98.13881349360217,84.29623885226832,93.25319891430787,96.00620395502132,79.83714618069018,81.50445909267158,70.06591702210159,96.62659945715393,98.37146180690189,91.81853431562621,97.78984102365257,90.46141915471112,91.39201240791004,62.388522683210546,55.06010081426909,64.24970918960837,70.84141139976735,7.250872431174874,30.283055447848003,65.06397828615742,67.66188445133773,90.34509499806126,21.713842574641333,8.452888716556805,0.6095818035841916
10,3pbq_imipenem_iter1_filtered_113,CC1(C)CCCCC1C(=O)NC1=NC2=NC=NC(=O)C2=C1,3pbq_imipenem_iter1_filtered.sdf,286.33500000000004,1.6244999999999998,4,1,4.0,0.7941841069899657,1,83.25,0.702557897567749,0.9733006000518799,0.9328704357147217,0.8143005013465882,0.8642890453338623,0.44417957663536073,0.7666406631469727,0.1229769006371498,0.04488162435591221,0.7096908807754516,0.1455791037529707,0.21084055304527283,0.06615760531276464,0.9287774205207825,0.9999830007553101,0.003473463258706033,0.016198172327131034,0.46179409325122833,0.1586877390742302,0.019372913427650927,0.22335368692874907,0.055456973146647215,0.980948519706726,0.3301789402961731,0.781589937210083,0.41266778856515884,0.21316260248422622,0.9205240964889526,0.32447914630174635,0.8372687935829163,0.44762119054794314,-4.736904289982835,14.080580419861665,56.454471155348436,1.3926045338115416,-9.613691213001696,2.689142659299504,1.9082210353182354,81.01505726923368,-4.450134714659795,7.184436530607482,36.448235750290806,40.597130670802635,46.47150058162078,36.68088406359054,63.80379992245056,88.21248545948042,54.80806514152772,55.83559519193486,92.20628150445908,83.28809616130283,83.94726638231873,92.55525397440869,96.04497867390461,90.5389685924777,95.96742923613803,54.168282279953466,48.5459480418767,74.71888328809617,61.03140752229546,59.984490112446686,42.264443582784025,85.45948041876696,95.03683598293912,25.3974408685537,38.46452113222179,92.05118262892594,81.0779371849554,52.30709577355564,82.70647537805351,85.07173322993408,92.43892981775882,67.81698332687088,95.424583171772,98.10003877471888,92.55525397440869,98.48778596355176,91.43078712679333,87.70841411399768,61.225281116711905,65.37417603722373,26.832105467235362,81.50445909267158,39.7440868553703,50.25203567274137,60.9150833656456,58.317177200465295,58.00697944939899,23.264831329972857,84.29623885226832,0.6081306035307336
