rank,molecule_id,smiles,source_file,molecular_weight,logP,hydrogen_bond_acceptors,hydrogen_bond_donors,Lipinski,QED,stereo_centers,tpsa,AMES,BBB_Martins,Bioavailability_Ma,CYP1A2_Veith,CYP2C19_Veith,CYP2C9_Substrate_CarbonMangels,CYP2C9_Veith,CYP2D6_Substrate_CarbonMangels,CYP2D6_Veith,CYP3A4_Substrate_CarbonMangels,CYP3A4_Veith,Carcinogens_Lagunin,ClinTox,DILI,HIA_Hou,NR-AR-LBD,NR-AR,NR-AhR,NR-Aromatase,NR-ER-LBD,NR-ER,NR-PPAR-gamma,PAMPA_NCATS,Pgp_Broccatelli,SR-ARE,SR-ATAD5,SR-HSE,SR-MMP,SR-p53,Skin_Reaction,hERG,Caco2_Wang,Clearance_Hepatocyte_AZ,Clearance_Microsome_AZ,Half_Life_Obach,HydrationFreeEnergy_FreeSolv,LD50_Zhu,Lipophilicity_AstraZeneca,PPBR_AZ,Solubility_AqSolDB,VDss_Lombardo,molecular_weight_drugbank_approved_percentile,logP_drugbank_approved_percentile,hydrogen_bond_acceptors_drugbank_approved_percentile,hydrogen_bond_donors_drugbank_approved_percentile,Lipinski_drugbank_approved_percentile,QED_drugbank_approved_percentile,stereo_centers_drugbank_approved_percentile,tpsa_drugbank_approved_percentile,AMES_drugbank_approved_percentile,BBB_Martins_drugbank_approved_percentile,Bioavailability_Ma_drugbank_approved_percentile,CYP1A2_Veith_drugbank_approved_percentile,CYP2C19_Veith_drugbank_approved_percentile,CYP2C9_Substrate_CarbonMangels_drugbank_approved_percentile,CYP2C9_Veith_drugbank_approved_percentile,CYP2D6_Substrate_CarbonMangels_drugbank_approved_percentile,CYP2D6_Veith_drugbank_approved_percentile,CYP3A4_Substrate_CarbonMangels_drugbank_approved_percentile,CYP3A4_Veith_drugbank_approved_percentile,Carcinogens_Lagunin_drugbank_approved_percentile,ClinTox_drugbank_approved_percentile,DILI_drugbank_approved_percentile,HIA_Hou_drugbank_approved_percentile,NR-AR-LBD_drugbank_approved_percentile,NR-AR_drugbank_approved_percentile,NR-AhR_drugbank_approved_percentile,NR-Aromatase_drugbank_approved_percentile,NR-ER-LBD_drugbank_approved_percentile,NR-ER_drugbank_approved_percentile,NR-PPAR-gamma_drugbank_approved_percentile,PAMPA_NCATS_drugbank_approved_percentile,Pgp_Broccatelli_drugbank_approved_percentile,SR-ARE_drugbank_approved_percentile,SR-ATAD5_drugbank_approved_percentile,SR-HSE_drugbank_approved_percentile,SR-MMP_drugbank_approved_percentile,SR-p53_drugbank_approved_percentile,Skin_Reaction_drugbank_approved_percentile,hERG_drugbank_approved_percentile,Caco2_Wang_drugbank_approved_percentile,Clearance_Hepatocyte_AZ_drugbank_approved_percentile,Clearance_Microsome_AZ_drugbank_approved_percentile,Half_Life_Obach_drugbank_approved_percentile,HydrationFreeEnergy_FreeSolv_drugbank_approved_percentile,LD50_Zhu_drugbank_approved_percentile,Lipophilicity_AstraZeneca_drugbank_approved_percentile,PPBR_AZ_drugbank_approved_percentile,Solubility_AqSolDB_drugbank_approved_percentile,VDss_Lombardo_drugbank_approved_percentile,composite_score
1,Dec06_3pbq_imipenem_iter2_top05_qed_18,Cc1nn(CCCC(C)C)c(C)c1-c1cc(O)c(C(N)=O)s1,Dec06_3pbq_imipenem_iter2_top05_qed.sdf,321.446,3.4691400000000026,5,2,4.0,0.8544844357408619,0,81.13999999999999,0.37005309462547303,0.9158164620399475,0.9497064709663391,0.7135707259178161,0.575804603099823,0.5597505986690521,0.5052117109298706,0.36465494632720946,0.11302718967199325,0.7402295112609864,0.4076012268662453,0.411860391497612,0.22256361097097396,0.5727771341800689,0.9998860597610474,0.00907227941788733,0.028407671488821507,0.15155201628804207,0.14077074825763702,0.07964116707444191,0.13261431604623794,0.035152896866202356,0.9844095349311829,0.3104972243309021,0.1871932253241539,0.04247553199529648,0.06739783771336079,0.30240103900432586,0.041691860929131505,0.3551146686077118,0.3904068410396576,-5.017486854205458,52.70190339778784,33.397359566597615,13.140399796482512,-10.636209030679883,2.498658898946313,2.0525890133872347,92.66232650555816,-3.8849600873237966,-5.442517131197508,47.26638231872819,69.09654905001939,59.1120589375727,60.85692128732067,63.80379992245056,95.50213260953858,22.489336952307095,54.711128344319505,73.47809228383095,69.91081814656843,89.6083753392788,89.49205118262893,86.89414501744862,95.57968204730516,90.38386971694455,78.59635517642496,64.28848390849166,78.90655292749128,76.81271810779371,83.13299728576968,68.86390073671966,57.81310585498255,84.41256300891818,45.288871655680495,56.72741372625048,77.74331136099264,79.4881737107406,85.22683210546724,66.42109344707251,79.25552539744086,94.22256688639007,67.00271423032183,59.63551764249709,78.28615742535867,79.37184955409073,78.09228383094222,62.31097324544397,42.22566886390074,58.00697944939899,48.00310197751066,64.55990694067468,64.67623109732455,58.78247382706475,40.24815820085304,48.00310197751066,61.03140752229546,78.32493214424196,33.96665374176037,7.444746025591314,0.6535478428027236
2,Dec06_3pbq_imipenem_iter2_top05_qed_3,Cc1sc(CCCN(C)C)c(F)c1C1CN2C(=NSC2N)S1,Dec06_3pbq_imipenem_iter2_top05_qed.sdf,360.54900000000004,3.0398200000000006,7,1,4.0,0.8179041054957502,2,44.86,0.593153440952301,0.986435842514038,0.9479926586151123,0.1568279892206192,0.29030823409557344,0.22924545407295227,0.08906184136867523,0.6838338613510132,0.6842719912528992,0.6034647166728974,0.44910886585712434,0.20905940234661102,0.7010033369064331,0.3180185556411743,0.9995608448982238,0.01689162300899625,0.02046623593196273,0.03548175636678934,0.25952315628528594,0.05124926306307316,0.087293491512537,0.009011827036738395,0.9315326929092407,0.7662585616111756,0.20049035772681237,0.019702078215777873,0.008264709915965795,0.058006769977509975,0.03603579103946686,0.5955234229564667,0.95165513753891,-5.540500741966004,60.934552304319666,26.65698492603251,13.964526402368344,-9.50213384253435,2.663332017670938,0.5807312143873584,47.227896341753976,-2.3018355547787115,-0.0028009784190656363,56.10701822411787,62.34974796432726,77.35556417215975,36.68088406359054,63.80379992245056,91.23691353237689,68.86390073671966,26.67700659170221,87.55331523846452,89.53082590151222,88.9104303993796,66.65374176037224,71.9658782473827,67.70065917022102,63.55176424970919,93.4470725087243,89.99612252811167,61.03140752229546,78.48003101977511,59.86816595579682,97.28576967816983,41.41139976735168,74.17603722373012,62.427297402093835,45.36642109344707,55.60294687863513,89.10430399379604,77.39433889104303,49.360217138425746,59.63551764249709,74.02093834819698,86.73904614191547,61.380379992245054,67.62310973245444,40.635905389685924,55.79682047305157,59.557968204730514,66.1108956960062,93.52462194649088,22.024040325707638,71.19038386971694,58.74369910818147,60.06203955021326,51.60915083365646,59.519193485847225,35.63396665374176,20.12407910042652,64.21093447072508,36.68088406359054,0.6369630379720683
3,Dec06_3pbq_imipenem_iter2_top05_qed_17,CC(=O)CCCc1nc(C)c(C2=CN3C(=S)NCC3S2)n1C,Dec06_3pbq_imipenem_iter2_top05_qed.sdf,336.4860000000001,2.20162,5,1,4.0,0.8321447349160637,1,50.160000000000004,0.16814400851726533,0.8682393193244934,0.8861379861831665,0.08449124991893768,0.24692255556583403,0.19609783291816713,0.11034196726977825,0.22963427305221557,0.0468850159086287,0.6443693399429321,0.2258090078830719,0.05368528813123703,0.10997027754783631,0.6843605816364289,0.9998236536979676,0.011788506899029017,0.01561911404132843,0.14631617739796637,0.10701610147953033,0.028470742143690587,0.14375477880239487,0.028059822879731654,0.9684078812599182,0.5055378675460815,0.46154298782348635,0.030160957667976617,0.18691236451268195,0.03037072727456689,0.03777916869148612,0.5109282851219177,0.27517378628253936,-5.309401340003851,48.6632227692633,32.717479465736226,2.4342666723521296,-10.387850022488518,2.4629727912009445,1.9083544595321533,64.74578972434942,-2.5211999290127665,5.433716539290657,50.756107018224114,48.352074447460254,59.1120589375727,36.68088406359054,63.80379992245056,92.98177588212485,54.80806514152772,30.942225668863898,47.150058162078324,63.31911593640946,69.17409848778595,58.00697944939899,68.32105467235363,61.341605273361765,67.04148894920512,69.17409848778595,49.360217138425746,66.34354400930593,68.01085692128731,21.442419542458317,53.27646374563784,63.86196200077549,82.00853043815432,52.849941837921676,37.14618069018999,77.27801473439317,74.2535866614967,63.590538968592476,69.25164792555253,76.1923226056611,86.73904614191547,75.84335013571152,81.58200853043815,73.74951531601396,91.5083365645599,47.654129507561066,60.721209771229155,59.05389685924777,49.20511826289259,31.252423419930203,61.14773167894533,64.05583559519194,41.45017448623497,42.380767739433885,45.288871655680495,58.317177200465295,37.068631252423415,60.33346258239628,77.04536642109345,0.5501970690734848
4,Dec06_3pbq_imipenem_iter2_top05_qed_20,Cc1nc(SCCC(N)=O)n(C)c1C1=CC(C)C([N+](=O)[O-])=C1,Dec06_3pbq_imipenem_iter2_top05_qed.sdf,322.39000000000004,1.8897199999999996,6,1,4.0,0.4890661634503033,1,104.05,0.8620465397834778,0.947398579120636,0.8758125901222229,0.47726463675498965,0.4542085945606232,0.18844159096479415,0.14638615325093268,0.08172232806682586,0.11317870914936065,0.6846992611885071,0.16534146964550017,0.17456216514110565,0.19661323577165604,0.6296100497245789,0.999853539466858,0.031288476288318635,0.0065674405777826905,0.0486572708003223,0.18250130414962767,0.09520645458251238,0.13017464950680732,0.014934525825083256,0.9430708765983582,0.1733139894902706,0.3281317263841629,0.018639500718563795,0.1963936984539032,0.13844335498288274,0.0659273162484169,0.9096952676773071,0.24048707783222198,-5.325180892150198,15.10633422792581,30.36035819835173,-25.221346243937496,-11.497744329377046,1.494060168929645,0.5954917100070132,55.819047207038,-2.382341602213389,-3.639987110219735,47.34393175649476,43.85420705699884,69.5036835982939,36.68088406359054,63.80379992245056,45.36642109344707,54.80806514152772,69.48429623885227,95.88987979837145,75.80457541682823,66.42109344707251,82.43505234587049,81.93098100038775,59.40286932919736,71.3454827452501,43.89298177588212,64.28848390849166,71.15160915083365,63.28034121752617,53.89685924777045,65.99457153935634,61.07018224117875,83.13299728576968,77.12291585886003,17.29352462194649,60.566110895696006,83.79216750678557,87.55331523846452,65.95579682047305,67.27413726250485,77.39433889104303,59.364094610314076,73.2842186894145,66.84761535478867,91.81853431562621,68.08840635905389,69.32919736331911,94.06746801085691,46.2582396277627,30.399379604497867,27.956572314850717,62.19464908879411,5.312136487010469,31.795269484296238,6.397828615742536,35.98293912369135,27.646374563784413,62.504846839860406,13.338503295851105,0.5460409224533744
5,Dec06_3pbq_imipenem_iter2_top05_qed_2,CC1=C(C2=NC3C(N)=NN=C3N2)C(C)C(CCC[N+](=O)[O-])=N1,Dec06_3pbq_imipenem_iter2_top05_qed.sdf,303.326,0.46260000000000034,8,2,4.0,0.5639255833209355,2,130.63,0.8082204043865204,0.8165648698806762,0.864574384689331,0.2718386486172676,0.219172964990139,0.104341771453619,0.08923377618193626,0.17365202233195304,0.14319849386811256,0.7007579922676086,0.139985241740942,0.18485493697226046,0.2633473675698042,0.6045675694942474,0.9969442367553711,0.008224928798153997,0.009947493276558816,0.20738173928111792,0.05755870901048184,0.036356701515614986,0.07838591486215592,0.02410167446359992,0.6628044128417969,0.09987325891852379,0.28891145065426826,0.03504514563828707,0.09559284225106239,0.1752898797392845,0.4206289380788803,0.9056383967399597,0.36555793285369875,-5.640803773272234,-18.35531504324137,14.406470599647566,7.847542783990863,-9.786198186055447,2.8346142895398962,0.45061488011591255,55.55254327145709,-1.808427198988602,0.1569690023892428,41.56649864288484,27.646374563784413,82.35750290810391,60.85692128732067,63.80379992245056,56.3396665374176,68.86390073671966,80.69018999612253,94.80418766963939,57.46413338503296,63.55176424970919,74.36991081814656,65.68437378829003,36.87475765800698,63.590538968592476,62.65994571539356,68.28227995347034,72.97402093834819,60.06203955021326,55.99069406746801,73.24544397053121,59.984490112446686,53.625436215587435,42.80728964715006,24.970918960837533,82.20240403257077,63.745637844125625,69.32919736331911,44.43582784024816,74.05971306708027,43.42768514928267,51.221403644823575,70.56998836758433,75.9208995734781,84.21868941450174,71.07405971306707,94.02869329197362,93.71849554090733,56.14579294300116,19.775106630476927,6.5141527723924,45.71539356339667,51.06630476929042,48.73982163629314,69.94959286545172,33.77278014734393,27.413726250484682,72.004652966266,37.92167506785576,0.5376690145519529
6,Dec06_3pbq_imipenem_iter2_top05_qed_10,CC1C(OCCN(C)C)=NC(F)=C1C1=CN2C(=O)N=CC2S1,Dec06_3pbq_imipenem_iter2_top05_qed.sdf,324.381,2.2146,5,0,4.0,0.7441387478675867,2,57.5,0.6086135327816009,0.9733831882476807,0.9052106738090515,0.0480213874951005,0.1191344192251563,0.4316006124019623,0.007904156239237636,0.1840792253613472,0.02960825231857598,0.7079162955284118,0.0071994510632066525,0.31097633093595506,0.35196973383426666,0.7360926508903504,0.9940759539604187,0.01692782496102154,0.06026647947728634,0.017414644127711654,0.023998392466455697,0.013721226155757904,0.10532949417829514,0.006470172246918082,0.9311433553695678,0.1028907760977745,0.13748127818107606,0.027687517926096916,0.0028481731918873266,0.007061326270923018,0.02357553243637085,0.7343564867973328,0.154989093542099,-4.347977125109577,46.778851757374845,50.989338162292235,6.084568869934475,-9.726970586644132,3.428568492918024,1.0192456005357724,46.47029096046578,-2.689047179244368,1.3277345654361965,47.692904226444355,48.62349747964327,59.1120589375727,11.768127181077936,63.80379992245056,81.23303606048856,68.86390073671966,35.5176424970919,88.32880961613029,83.28809616130283,74.87398216362931,51.68670027142303,52.92749127568825,89.64715005816208,27.374951531601397,64.24970918960837,41.91547111283443,74.29236138037999,29.93408297789841,73.5944164404808,79.7983714618069,67.00271423032183,46.9174098487786,62.504846839860406,77.82086079875921,44.55215199689802,49.28266770065917,43.38891043039938,58.04575416828228,54.672353625436216,73.90461419154711,51.764249709189606,51.91934858472276,72.81892206281505,21.1709965102753,29.93408297789841,51.647925552539746,78.67390461419154,37.572702597906165,89.37572702597906,59.480418766963936,77.97595967429235,48.08065141527724,49.398991857309035,91.27568825126018,42.49709189608375,19.620007754943778,57.03761147731679,48.158200853043816,0.5243090764065667
7,Dec06_3pbq_imipenem_iter2_top05_qed_13,CC1=C(c2cc(C(=O)O)n(C)n2)C(C)C(SCCC(C)C)=N1,Dec06_3pbq_imipenem_iter2_top05_qed.sdf,321.446,3.6768000000000027,5,1,4.0,0.8980917684606444,1,67.47999999999999,0.15989223271608352,0.5290643692016601,0.9570670366287232,0.06391337364912034,0.2970901846885681,0.46096643805503845,0.41298339068889617,0.04127494711428881,0.015037205629050731,0.39722995162010194,0.06065172180533409,0.42994128465652465,0.08706505596637726,0.9009847283363343,0.9995235800743103,0.0014855248446110636,0.02109445142559707,0.23802708834409714,0.039918177947402,0.023154961317777632,0.14322890266776084,0.11702578812837601,0.8676751017570495,0.06605090759694576,0.2539172053337097,0.034159182012081145,0.07429629415273667,0.1502515882253647,0.02570743188261986,0.5005514919757843,0.025494797527790068,-4.909111298404745,20.986213362919756,33.84937709656084,-20.246759019406536,-8.095762696750139,2.1322734146710496,0.9293230048368291,87.71826913385885,-3.5386113847198595,-1.444699980805734,47.26638231872819,72.50872431174874,59.1120589375727,36.68088406359054,63.80379992245056,99.06940674680108,54.80806514152772,44.707250872431175,45.75416828227995,32.570763861962,91.8573090345095,54.711128344319505,72.46994959286545,91.15936409461031,87.16556804963164,29.50756107018224,30.632027917797593,41.60527336176813,49.515316013958895,84.45133772780147,47.84800310197751,81.38813493602171,73.36176812718108,13.803799922450562,46.2582396277627,84.14113997673516,57.03761147731679,57.46413338503296,69.21287320666924,92.28383094222566,61.69057774331136,46.60721209771229,66.88639007367196,75.5719271035285,80.84528887165568,69.13532376890268,53.19891430787126,57.81310585498255,15.820085304381543,54.28460643660333,33.462582396277625,65.06397828615742,8.1426909654905,65.4517254749903,26.521907716169057,40.90732842186894,69.21287320666924,40.442031795269486,25.3974408685537,0.5152514643975463
8,Dec06_3pbq_imipenem_iter2_top05_qed_6,CC1=C(C2=CC3C=CN(C)C3=C2)C(C)N(CCCC(C)O)N1,Dec06_3pbq_imipenem_iter2_top05_qed.sdf,301.43399999999997,2.5293000000000005,4,2,4.0,0.8183350637888964,3,38.74,0.5061770379543304,0.8318398475646973,0.7565779209136962,0.023450050316751004,0.15255395099520683,0.10431289896368981,0.030015081726014615,0.36585169434547427,0.46398231387138367,0.5881557941436768,0.36762399077415464,0.3219595193862915,0.43868834972381593,0.08497042022645473,0.9990824699401856,0.003230721550062299,0.02480494976043701,0.444390869140625,0.05071652168408036,0.013009254494681955,0.06155200079083443,0.0016299372262437827,0.8152941942214966,0.16975026354193687,0.1537506066262722,0.0025649983203038574,0.08476366996765136,0.06542234532535077,0.01331083131954074,0.7435907006263733,0.6262652933597564,-4.854693675480432,-11.905123886546301,-3.3618494678211293,5.410468827136176,-9.213132122755734,3.268921450271114,1.2191523439366796,60.0383910740296,-2.1129306329396487,3.308804101882756,40.94610314075223,53.664210934470724,46.47150058162078,60.85692128732067,63.80379992245056,91.31446297014347,75.43621558743699,21.481194261341606,83.09422256688639,59.09267157813106,43.9705312136487,43.3113609926328,57.3090345094998,36.87475765800698,46.99495928654517,78.59635517642496,84.83908491663435,59.32531989143079,74.83520744474602,74.56378441256301,85.07173322993408,18.30166731291198,66.88639007367196,24.00155098875533,51.53160139588988,91.62466072120976,61.14773167894533,42.264443582784025,34.00542846064366,31.98914307871268,56.068243505234584,59.01512214036448,54.55602946878635,35.44009305932532,82.97789841023652,57.270259790616514,42.76851492826677,79.139201240791,69.32919736331911,57.735556417215975,9.034509499806127,24.23419930205506,47.111283443195035,54.711128344319505,88.32880961613029,45.948041876696394,31.640170608763086,67.23536254362156,63.28034121752617,0.5054394337095368
9,Dec06_3pbq_imipenem_iter2_top05_qed_15,C=C1C(CCCN(C)C)SC(C)N1C1=NC(=S)C(C(=O)O)=C1,Dec06_3pbq_imipenem_iter2_top05_qed.sdf,339.4860000000001,2.3558000000000003,5,1,4.0,0.7761887551955564,2,56.14,0.20080235674977304,0.6468364119529724,0.81573885679245,0.05336158908903599,0.2040554851293564,0.3688739210367203,0.13253025859594345,0.19998098015785218,0.11064471006393432,0.33968953639268873,0.02063790671527386,0.14853952080011368,0.5090808212757111,0.647650957107544,0.8948118805885314,0.013719001132994891,0.02706757131963968,0.016523707192391157,0.015088181756436825,0.030564866214990615,0.08452671244740487,0.16480913907289504,0.5633551359176636,0.09515764079988002,0.5242963314056397,0.10555645078420639,0.08617984056472779,0.03335192706435919,0.04696672931313515,0.7229671239852905,0.24736693799495696,-5.595126688843582,-14.004470921573562,-6.356009493992991,-12.394476867546706,-10.883110870323115,2.871522616806087,-0.8259945048541859,56.57684369223138,-2.186045388703994,1.4952476494410278,51.53160139588988,50.717332299340825,59.1120589375727,36.68088406359054,63.80379992245056,85.57580457541683,68.86390073671966,34.97479643272586,52.22954633578907,41.682822799534705,53.586661496704146,53.043815432338114,63.93951143854207,85.18805738658395,70.06591702210159,65.95579682047305,63.86196200077549,35.789065529274914,38.735944164404806,48.5459480418767,89.53082590151222,62.15587436991082,25.591314462970143,56.9988367584335,54.59480418766964,43.66033346258239,43.001163241566495,65.18030244280729,48.08065141527724,94.37766576192323,36.991081814656845,50.67855758045754,85.0329585110508,88.87165568049632,83.17177200465296,48.933695230709574,63.629313687475765,78.05350911205893,46.83986041101202,20.70569988367584,8.220240403257076,20.16285381930981,16.09150833656456,37.727801473439314,72.23730127956573,14.540519581233035,28.383094222566886,66.38231872818922,49.90306320279178,0.4681334898293621
10,Dec06_3pbq_imipenem_iter2_top05_qed_5,Cc1nc(SCCC(C)C)c(C)n1-c1cn(C)c(C(=O)O)n1,Dec06_3pbq_imipenem_iter2_top05_qed.sdf,322.4340000000001,3.0590400000000013,6,1,4.0,0.8275139797418906,0,72.94,0.20220144465565681,0.5586135923862457,0.9765672564506531,0.022346523031592368,0.031246887892484664,0.45028713941574094,0.09930911660194397,0.04323067795485258,0.013492078799754382,0.3898662716150284,0.011658611241728067,0.25221932381391526,0.11816507577896118,0.8955776572227478,0.9942200779914856,0.004300423990935087,0.03363532703369856,0.125800621509552,0.023250371776521207,0.02573399879038334,0.11567736491560936,0.029547645524144173,0.7986408352851868,0.06343556791543961,0.11013830602169036,0.016631404310464858,0.012079891003668308,0.008033733814954758,0.0041570089058950545,0.30479910373687746,0.046182533260434866,-4.917073167426196,33.347305380692205,26.997719171641698,-32.48725453507251,-8.294078380338187,1.906266525995834,0.38176155678444273,80.42624562582833,-2.9596889131313553,2.718218474852355,47.34393175649476,62.543621558743695,69.5036835982939,36.68088406359054,63.80379992245056,92.40015509887553,22.489336952307095,48.41023652578519,52.384645211322216,34.23807677394339,97.28576967816983,42.72974020938348,30.670802636680882,90.77161690577744,65.18030244280729,30.55447848003102,29.468786351298952,41.023652578518806,33.73400542846064,66.38231872818922,55.02132609538581,80.72896471500582,47.18883288096161,29.08103916246607,62.31097324544397,74.87398216362931,48.97246994959286,60.52733617681272,61.806901899961225,77.12291585886003,54.245831717720044,46.06436603334626,47.150058162078324,64.75378053509112,47.46025591314463,31.213648701046917,25.901512214036448,35.750290810391625,20.70569988367584,53.85808452888716,47.18883288096161,59.2865451725475,2.6754556029468786,63.35789065529275,16.47925552539744,32.76463745637844,57.03761147731679,51.57037611477317,58.898797983714616,0.4285588977633222
