rank,molecule_id,smiles,source_file,molecular_weight,logP,hydrogen_bond_acceptors,hydrogen_bond_donors,Lipinski,QED,stereo_centers,tpsa,AMES,BBB_Martins,Bioavailability_Ma,CYP1A2_Veith,CYP2C19_Veith,CYP2C9_Substrate_CarbonMangels,CYP2C9_Veith,CYP2D6_Substrate_CarbonMangels,CYP2D6_Veith,CYP3A4_Substrate_CarbonMangels,CYP3A4_Veith,Carcinogens_Lagunin,ClinTox,DILI,HIA_Hou,NR-AR-LBD,NR-AR,NR-AhR,NR-Aromatase,NR-ER-LBD,NR-ER,NR-PPAR-gamma,PAMPA_NCATS,Pgp_Broccatelli,SR-ARE,SR-ATAD5,SR-HSE,SR-MMP,SR-p53,Skin_Reaction,hERG,Caco2_Wang,Clearance_Hepatocyte_AZ,Clearance_Microsome_AZ,Half_Life_Obach,HydrationFreeEnergy_FreeSolv,LD50_Zhu,Lipophilicity_AstraZeneca,PPBR_AZ,Solubility_AqSolDB,VDss_Lombardo,molecular_weight_drugbank_approved_percentile,logP_drugbank_approved_percentile,hydrogen_bond_acceptors_drugbank_approved_percentile,hydrogen_bond_donors_drugbank_approved_percentile,Lipinski_drugbank_approved_percentile,QED_drugbank_approved_percentile,stereo_centers_drugbank_approved_percentile,tpsa_drugbank_approved_percentile,AMES_drugbank_approved_percentile,BBB_Martins_drugbank_approved_percentile,Bioavailability_Ma_drugbank_approved_percentile,CYP1A2_Veith_drugbank_approved_percentile,CYP2C19_Veith_drugbank_approved_percentile,CYP2C9_Substrate_CarbonMangels_drugbank_approved_percentile,CYP2C9_Veith_drugbank_approved_percentile,CYP2D6_Substrate_CarbonMangels_drugbank_approved_percentile,CYP2D6_Veith_drugbank_approved_percentile,CYP3A4_Substrate_CarbonMangels_drugbank_approved_percentile,CYP3A4_Veith_drugbank_approved_percentile,Carcinogens_Lagunin_drugbank_approved_percentile,ClinTox_drugbank_approved_percentile,DILI_drugbank_approved_percentile,HIA_Hou_drugbank_approved_percentile,NR-AR-LBD_drugbank_approved_percentile,NR-AR_drugbank_approved_percentile,NR-AhR_drugbank_approved_percentile,NR-Aromatase_drugbank_approved_percentile,NR-ER-LBD_drugbank_approved_percentile,NR-ER_drugbank_approved_percentile,NR-PPAR-gamma_drugbank_approved_percentile,PAMPA_NCATS_drugbank_approved_percentile,Pgp_Broccatelli_drugbank_approved_percentile,SR-ARE_drugbank_approved_percentile,SR-ATAD5_drugbank_approved_percentile,SR-HSE_drugbank_approved_percentile,SR-MMP_drugbank_approved_percentile,SR-p53_drugbank_approved_percentile,Skin_Reaction_drugbank_approved_percentile,hERG_drugbank_approved_percentile,Caco2_Wang_drugbank_approved_percentile,Clearance_Hepatocyte_AZ_drugbank_approved_percentile,Clearance_Microsome_AZ_drugbank_approved_percentile,Half_Life_Obach_drugbank_approved_percentile,HydrationFreeEnergy_FreeSolv_drugbank_approved_percentile,LD50_Zhu_drugbank_approved_percentile,Lipophilicity_AstraZeneca_drugbank_approved_percentile,PPBR_AZ_drugbank_approved_percentile,Solubility_AqSolDB_drugbank_approved_percentile,VDss_Lombardo_drugbank_approved_percentile,composite_score
1,generated_from_refactor.sdf_43,CC1=CC2=C(CC1=O)c1c(C)ccc3c1=C(S2)C1CCCC(F)(F)C=31,generated_from_refactor.sdf,356.4370000000001,4.079920000000003,2,0,4.0,0.6967459655465827,1,17.07,0.36204356551170347,0.9962397336959838,0.9221511840820312,0.94886155128479,0.9398701548576355,0.31535443365573884,0.84537193775177,0.10938309840857982,0.11240815296769142,0.7739682197570801,0.8007001042366028,0.17947803065180779,0.009818798676133157,0.8187272310256958,0.9999996900558472,0.15928040854632855,0.1873710561543703,0.42450911104679107,0.13877657279372216,0.021801291964948177,0.3135786890983582,0.0671023428440094,0.9897057890892029,0.5984758734703064,0.7895734071731567,0.08102073147892952,0.18508848249912263,0.9165575265884399,0.23803526163101196,0.5591757416725158,0.4688285648822784,-4.37050191569242,51.427794100395054,26.04631680324448,34.67563813353888,-5.630744411198623,3.5313879349826047,4.032466785274167,90.35053577422389,-4.988033483028169,-0.6829876843894415,54.94377665761923,78.32493214424196,16.38231872818922,11.768127181077936,63.80379992245056,74.6025591314463,54.80806514152772,8.47227607599845,72.85769678169834,96.47150058162077,80.84528887165568,97.01434664598682,97.71229158588599,79.87592089957347,97.4020938348197,51.337727801473434,64.21093447072508,84.17991469561845,90.77161690577744,54.94377665761923,11.283443195036835,73.09034509499806,100.0,92.59402869329197,91.62466072120976,91.04303993796044,79.17797595967428,55.75804575416828,89.33695230709577,87.43699108181465,97.20822024040325,79.83714618069018,95.7735556417216,85.9635517642497,91.46956184567662,98.25513765025204,87.82473827064753,63.047692904226444,61.806901899961225,88.32880961613029,63.5129895308259,58.16207832493214,79.21675067855757,85.14928266770066,92.90422644435827,95.61845676618844,74.21481194261341,14.424195424583171,30.70957735556417,0.6359203927816527
2,generated_from_refactor.sdf_5,O=C1C2OC3C=c4cc(O)ccc4=C3C3=C2C2C(CC3)C2C(F)C1F,generated_from_refactor.sdf,342.341,1.3159,3,1,4.0,0.7735045845592958,7,46.53,0.5478231906890869,0.9653571844100952,0.9169076681137085,0.45326719880104066,0.7330318748950958,0.19231938421726227,0.3958235189318657,0.11979791596531868,0.266711163520813,0.7731419920921325,0.6343284010887146,0.07504481226205825,0.04601266346871853,0.4300688326358795,0.9999918699264526,0.3128002882003784,0.4657666563987732,0.34321920573711395,0.29738047868013384,0.24305342733860016,0.6673366069793701,0.045295013673603536,0.9154826760292053,0.26174034997820855,0.8251356720924378,0.39660122990608215,0.08347396850585938,0.6707609176635743,0.2836973637342453,0.3101490348577499,0.33017479777336123,-5.011298559642631,81.75084091483859,41.27946595511544,-21.78643692928218,-8.12043847279663,3.9116010594244237,2.6330569260363657,90.22740092994215,-4.266630002137292,9.18000331926117,52.19077161690578,36.29313687475766,31.17487398216363,36.68088406359054,63.80379992245056,85.22683210546724,89.78286157425359,28.266770065917022,85.57580457541683,80.4187669639395,79.02287708414114,81.85343156262117,92.40015509887553,60.37223730127956,86.73904614191547,53.54788677782086,77.12291585886003,84.06359053896858,84.56766188445134,29.468786351298952,34.27685149282668,49.59286545172547,97.20822024040325,94.02869329197362,94.61031407522296,88.67778208607987,90.61651803024428,94.53276463745638,96.70414889492051,82.31872818922062,70.3761147731679,64.44358278402481,96.4327258627375,97.86739046141915,82.78402481582009,91.93485847227608,89.68592477704536,36.525785188057384,53.27646374563784,48.23575029081039,83.32687088018612,71.88832880961613,7.173322993408298,65.29662659945716,97.05312136487011,72.70259790616518,73.9433889104304,26.59945715393563,89.80224893369522,0.6327009051767266
3,generated_from_refactor.sdf_48,COC1=C(OC)C2=C=C(CC(OC)C(C)F)C(=O)C(=O)Oc3ccc4c(c3C2=CC1)OC1(CC1)O4,generated_from_refactor.sdf,484.47600000000034,3.942300000000003,8,0,4.0,0.25967778667775165,2,89.52000000000001,0.6845248222351075,0.8843182325363159,0.8646582245826722,0.39905164539814,0.7203419923782348,0.06449748016893864,0.7547010183334351,0.04533700793981552,0.05042337775230408,0.6761626601219177,0.7503519773483276,0.15912339612841606,0.03390905037522316,0.9709351301193238,0.9998764872550965,0.04378307186998427,0.03165928367525339,0.4053862601518631,0.13490537703037261,0.016658900352194906,0.04073735773563385,0.062497154250741004,0.95053790807724,0.9272416114807129,0.740001118183136,0.1497298412024975,0.16552691608667375,0.8162209153175354,0.35495868921279905,0.4675010144710541,0.49316861629486086,-4.053162534937132,57.57654339929898,80.46965800801009,42.23612163050044,-5.875708139098749,4.05429981327088,3.44106277878317,90.93221673387329,-5.635433816943321,15.120481146020609,80.03101977510663,76.73516867002714,82.35750290810391,11.768127181077936,63.80379992245056,17.060876308646762,68.86390073671966,60.37223730127956,91.74098487785963,65.37417603722373,63.55176424970919,79.91469561845676,92.01240791004265,23.303606048856146,95.7735556417216,31.678945327646375,50.562233423807676,69.98836758433501,89.2594028693292,50.83365645599069,28.615742535866616,94.84296238852268,84.10236525785187,82.82279953470336,60.64366033346258,90.5389685924777,78.71267933307483,48.39084916634354,19.58123303606049,86.70027142303218,80.06979449398992,95.73478092283831,94.26134160527336,91.66343544009305,90.34509499806126,95.88987979837145,92.32260566110895,54.749903063202794,63.164017060876304,98.0224893369523,68.90267545560295,91.00426521907715,83.67584335013571,83.67584335013571,97.78984102365257,88.63900736719658,75.10663047692904,7.638619620007755,96.16130283055448,0.629431366654957
4,generated_from_refactor.sdf_28,COc1cc2cc(c1)Oc1cccc(c1)COCC1CCCC1N2,generated_from_refactor.sdf,325.4080000000001,4.598300000000004,4,1,4.0,0.8317007639315295,2,39.72,0.495767080783844,0.9820684552192688,0.9551874995231628,0.8934001445770263,0.9313133955001831,0.3965881586074829,0.3163314938545227,0.7184493780136109,0.621025562286377,0.679508376121521,0.846260404586792,0.05584051758050919,0.041913984902203084,0.45525520443916323,0.9999958038330078,0.0020609651095583104,0.027267762273550034,0.8046885967254639,0.11350030452013016,0.028775493428111077,0.3223308861255646,0.004804297524970025,0.9739896655082703,0.3849076509475708,0.30940464437007903,0.11158631667494774,0.09362944215536118,0.5445791125297547,0.05475668665021658,0.29895768165588377,0.8058523654937744,-4.543780004250562,94.43138878486991,61.508279091978316,13.625392944614713,-6.120073238100166,2.628666879817234,3.962026800086432,98.41806942909753,-5.335244972528988,8.306691193025017,48.08065141527724,85.07173322993408,46.47150058162078,36.68088406359054,63.80379992245056,92.90422644435827,68.86390073671966,22.353625436215587,82.27995347033733,87.08801861186507,91.1981388134936,94.84296238852268,97.51841799146956,87.16556804963164,83.21054672353625,94.26134160527336,88.75533152384645,70.45366421093446,92.59402869329197,22.528111671190384,32.60953858084529,51.337727801473434,98.33268708801862,17.177200465296625,54.94377665761923,98.10003877471888,75.18417991469562,63.8231872818922,89.8797983714618,49.90306320279178,89.76347421481194,70.45366421093446,72.08220240403257,89.41450174486235,84.06359053896858,87.08801861186507,66.49864288483909,35.168670027142305,78.67390461419154,77.35556417215975,88.52268321054672,83.4044203179527,59.5967429236138,82.0860798759209,56.649864288483904,94.80418766963939,88.52268321054672,10.469174098487786,88.01861186506397,0.6276422172440788
5,generated_from_refactor.sdf_65,CC12C3=C4C=C=CC5=C3OC(C=C5)CCC1C(=O)C=CC2S4,generated_from_refactor.sdf,308.402,3.845100000000003,3,0,4.0,0.6359603871116415,4,26.3,0.23111563920974731,0.8984857320785522,0.8152235865592956,0.6538477301597595,0.9477777123451233,0.2153908759355545,0.7352021336555481,0.08839082345366478,0.13143630623817443,0.6777825117111206,0.7924069762229919,0.0856992706656456,0.0539471946656704,0.752291464805603,0.9999840259552002,0.14443082585930825,0.18244046866893768,0.12399824112653732,0.3558013379573822,0.149534472823143,0.585140073299408,0.18899323791265488,0.971578848361969,0.5893032789230347,0.9359434723854065,0.1743988275527954,0.5704798817634582,0.6502518653869629,0.2879720523953438,0.837665569782257,0.1908643826842308,-5.023842171100453,48.800035141020146,37.1820512292049,9.782371593704301,-6.602767537231648,2.551253911677657,2.7587491189643587,90.53661092047936,-4.806063716049913,2.1666161015388203,43.11748739821636,74.83520744474602,31.17487398216363,11.768127181077936,63.80379992245056,64.90887941062427,80.1085692128732,13.067080263668089,57.153935633966654,67.27413726250485,53.431562621171,87.35944164404808,98.0224893369523,65.21907716169058,95.57968204730516,45.67661884451338,67.1190383869717,70.29856533540132,90.42264443582783,33.11360992632803,38.309422256688634,68.0496316401706,95.23070957735555,92.32260566110895,91.5083365645599,74.6025591314463,92.67157813105855,91.66343544009305,96.00620395502132,94.99806126405583,88.25126017836371,79.33307483520744,98.95308259015121,92.98177588212485,97.59596742923614,91.08181465684373,89.8797983714618,87.90228770841411,41.45017448623497,47.49903063202792,61.186506397828616,68.32105467235363,53.664210934470724,78.8290034897247,51.72547499030632,75.14540519581233,74.44746025591314,17.13842574641334,55.17642497091896,0.6252497894724494
6,generated_from_refactor.sdf_49,CCCN1C2=C(CCCC=C2)N2c3c1ccc(Cl)c3CCC2OCC,generated_from_refactor.sdf,358.91300000000024,5.636900000000006,3,0,3.0,0.6925331541291119,1,15.71,0.3452415645122528,0.9865837812423706,0.6317383348941803,0.6765365123748779,0.8693284034729004,0.08305370211601257,0.5699320316314698,0.22650719583034515,0.5267264187335968,0.8001322865486145,0.5887125134468079,0.17007366716861724,0.10103284865617752,0.4819504141807556,0.9999587535858154,0.010982454754412174,0.013775238674134016,0.5095835268497467,0.40322225689888,0.030790356174111366,0.10273316130042076,0.04261641725897789,0.9590968132019043,0.7474848866462708,0.6421504259109497,0.02272365503013134,0.46012277007102964,0.6879709839820862,0.40147305428981783,0.7644973874092102,0.7978950262069702,-4.519264388070423,92.3656404651247,51.58361717160807,114.19185575293218,-5.974955468618134,2.400005729233631,3.5549156738801884,97.23777063424691,-5.715634536113543,23.21479663302092,55.60294687863513,92.12873206669252,31.17487398216363,11.768127181077936,20.918960837533927,73.51686700271424,54.80806514152772,7.890655292749127,71.07405971306707,89.6083753392788,28.615742535866616,88.25126017836371,96.12252811167119,30.244280728964714,92.1675067855758,68.98022489336952,86.42884839084917,87.66963939511439,83.52074447460255,53.16013958898798,51.26017836370686,52.888716556804965,90.46141915471112,50.601008142690965,33.19115936409461,93.05932531989143,94.84296238852268,65.29662659945716,57.153935633966654,81.81465684373788,83.01667312911981,85.92477704536643,90.26754556029468,69.87204342768514,96.7429236138038,92.28383094222566,93.60217138425746,80.61264055835595,78.1698332687088,79.29430011632415,88.01861186506397,78.20860798759209,96.66537417603722,83.09422256688639,41.721597518417994,90.42264443582783,86.70027142303218,7.212097712291586,98.64288483908491,0.6134851862830741
7,generated_from_refactor.sdf_13,OC1CCC2CCCN(c3csc4c5c(cnc34)CNC5)C2C1,generated_from_refactor.sdf,329.46900000000016,3.029300000000001,5,2,4.0,0.8442141003482047,3,48.39,0.3664476007223129,0.9677533626556396,0.7520555257797241,0.5938099145889282,0.7686253190040588,0.272071835398674,0.5082231819629669,0.43542314171791074,0.3351023495197296,0.5118585050106048,0.35044744312763215,0.04320872724056244,0.19365977942943574,0.4725075542926788,0.9999582529067993,0.02480099331587553,0.054386889934539794,0.6915378272533417,0.24201247096061707,0.05920469015836716,0.4371060937643051,0.023588407225906848,0.9372586846351624,0.2611019104719162,0.42690650224685667,0.18858180642127992,0.1971996992826462,0.4993972361087799,0.3291107386350632,0.4146197557449341,0.683549964427948,-5.13943206937475,33.81762817391575,6.9110872557388685,47.230379925562964,-10.648618257346737,2.9354593528418276,2.4069824980202545,84.1591926356182,-2.8005168072347146,14.137401859969103,49.12756882512602,62.07832493214424,59.1120589375727,60.85692128732067,63.80379992245056,94.4552151996898,75.43621558743699,29.56572314850717,73.16789453276463,81.27181077937185,43.27258627374951,85.84722760759985,93.4470725087243,74.33113609926328,90.50019387359441,82.70647537805351,80.37999224505621,52.268321054672356,74.33113609926328,17.75882124854595,65.4517254749903,52.423419930205505,90.34509499806126,72.15975184179915,75.2617293524622,96.23885226832105,88.09616130283055,79.91469561845676,93.8348196975572,73.71074059713067,75.80457541682823,64.44358278402481,79.52694842962389,93.4858472276076,91.89608375339279,85.49825513765025,91.58588600232648,49.16634354400931,71.3067080263668,40.28693291973633,47.654129507561066,36.991081814656845,86.42884839084917,39.976735168670025,75.61070182241178,68.0496316401706,62.466072120977124,54.63357890655293,95.424583171772,0.6099705029984128
8,generated_from_refactor.sdf_18,Cc1ccc(N)c2c(N)cccc12,generated_from_refactor.sdf,172.23100000000005,2.31262,2,2,4.0,0.5989801809243438,0,52.04,0.983057165145874,0.9177803039550781,0.9258441090583801,0.9922498464584351,0.704313462972641,0.08009666576981544,0.22854502648115158,0.2482116386294365,0.6305761754512786,0.43066022396087644,0.9146302103996277,0.484253516793251,0.02157906647771597,0.8214769124984741,0.9999896287918091,0.03179347030818462,0.05304387267678976,0.9840496778488159,0.21016122698783873,0.08271105587482452,0.2020377427339554,0.02676319982856512,0.9132985949516297,0.0738625604659319,0.7613806009292603,0.12190252393484116,0.11321636736392975,0.7225261569023133,0.2361084431409836,0.9471890926361084,0.6150245308876038,-5.036020847853699,60.261743924588345,8.952846652727832,27.888603563758977,-9.385376973846334,2.4931063119366685,1.3219032333443204,79.05689216986488,-2.303083005361491,14.400656116876283,13.105854982551376,49.8255137650252,16.38231872818922,60.85692128732067,63.80379992245056,60.33346258239628,22.489336952307095,31.62078324932144,99.22450562233423,70.14346645986816,82.0860798759209,99.68980224893369,91.1981388134936,28.92594028693292,78.01473439317564,70.53121364870104,88.9104303993796,44.78480031019775,95.54090732842187,87.78596355176424,19.968980224893368,73.32299340829779,96.62659945715393,77.47188832880961,74.83520744474602,99.72857696781698,86.19620007754943,85.69212873206669,80.1473439317565,75.68825126017836,69.716944552152,47.537805350911206,94.7654129507561,90.34509499806126,86.23497479643272,92.94300116324156,87.74718883288097,96.89802248933695,68.98022489336952,46.68476153547887,70.60876308646762,39.240015509887556,74.33113609926328,52.69484296238852,47.77045366421093,47.731678945327644,55.48662272198526,64.21093447072508,95.69600620395502,0.6086158927823699
9,generated_from_refactor.sdf_30,COc1ccc2ccc(NC(C)COCC3C=CC(CO)CC3)nc2c1C(N)=O,generated_from_refactor.sdf,399.4910000000002,2.734,6,3,4.0,0.5599224334089874,3,106.69999999999999,0.7192542791366577,0.7661229133605957,0.9304343700408936,0.41199851632118223,0.46727752685546875,0.36356942653656005,0.45812390446662904,0.3414542436599731,0.12568735778331758,0.7101624548435211,0.5157389342784882,0.2709990829229355,0.47959216237068175,0.6280744433403015,0.9997977495193482,0.033153106831014155,0.03278212659060955,0.6351745069026947,0.2003269225358963,0.021249937266111373,0.08282361924648285,0.04170563127845526,0.9409290313720703,0.618829071521759,0.3111966967582703,0.10325027033686637,0.05945557206869125,0.5763522267341614,0.2664864808320999,0.10533350706100464,0.9010780572891235,-4.977937015554171,19.618011179775387,42.45057751146111,24.341852114175158,-13.428745795211992,2.566036969349254,2.4485873201108626,84.75342521145224,-3.602478997885561,12.061988366656824,65.21907716169058,58.00697944939899,69.5036835982939,77.25862737495153,63.80379992245056,55.71927103528499,75.43621558743699,71.0352849941838,92.67157813105855,52.65606824350523,83.36564559906941,80.4575416828228,82.62892594028693,84.72276075998448,89.2206281504459,77.2004652966266,66.57619232260566,74.79643272586273,80.4187669639395,68.7088018611865,87.32066692516479,61.03140752229546,80.8065141527724,78.09228383094222,61.65180302442807,95.46335789065529,85.42070569988367,54.866227219852654,46.956184567661886,81.62078324932143,76.851492826677,80.65141527723924,72.23730127956573,88.71655680496316,77.47188832880961,88.290034897247,88.9492051182629,6.281504459092671,87.04924389298178,50.32958511050795,32.299340829778984,72.89647150058161,70.88018611865064,17.48739821636293,52.92749127568825,68.90267545560295,63.24156649864288,39.0849166343544,94.02869329197362,0.6083276764296999
10,generated_from_refactor.sdf_80,Nc1cc(N2CCOCC2)nc(N(CC2CC2)c2ccccc2)c1,generated_from_refactor.sdf,324.428,3.0485000000000015,5,1,4.0,0.9159477588229044,0,54.62,0.5113335609436035,0.9857359766960144,0.9368449330329895,0.7890071153640748,0.8697232604026794,0.19951069951057435,0.44476149678230287,0.4299502789974213,0.6822393655776977,0.42543224692344667,0.8669322967529297,0.05949140153825283,0.29975983798503875,0.33283265829086306,0.9999925374984742,0.006196853099390864,0.012039853259921074,0.6968712925910949,0.3552765309810638,0.0403272770345211,0.15391070395708084,0.01046300558373332,0.9700699806213379,0.22506290078163146,0.2959347069263458,0.07561089247465133,0.17823865860700608,0.4614768326282501,0.07548838704824448,0.48385792374610903,0.8437949419021606,-4.700340351233663,77.93269633345638,31.627414289649902,-3.0917811793307868,-9.798290138645736,2.7780873001642563,2.8935621624183785,82.26701981521644,-3.1809116127998958,12.168886680818042,47.8867778208608,62.466072120977124,59.1120589375727,36.68088406359054,63.80379992245056,99.72857696781698,22.489336952307095,34.16052733617681,83.48196975571926,89.06552927491275,85.53702985653354,92.05118262892594,96.16130283055448,62.11709965102753,88.67778208607987,82.3962776269872,89.99612252811167,44.280728964715,93.4470725087243,23.4587049243893,76.30864676231097,42.53586661496704,97.44086855370298,36.68088406359054,29.391236913532374,96.35517642497092,92.67157813105855,71.73322993408297,71.50058162078325,61.53547886777821,87.51454051958123,62.85381930981,71.0352849941838,85.38193098100038,91.08181465684373,84.17991469561845,71.69445521519968,56.26211709965103,81.27181077937185,67.66188445133773,81.50445909267158,63.047692904226444,30.78712679333075,48.5459480418767,66.14967041488948,77.97595967429235,59.364094610314076,47.03373400542846,94.14501744862349,0.6035623092848644
